id,metric_key,metric_name_id,event_names,source_table,aggregation_method,default_window,data_type,reset_policy,privacy_level,anti_farming_rule_id,notes
ach_metric_028,previous_mistakes_mastered,Previous Mistakes Mastered,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_029,quizzes_completed,Quizzes Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_030,radicals_known_count,Radicals Known Count,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_031,reading_tasks_completed,Reading Tasks Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_032,roadmap_completion_percent,Roadmap Completion Percent,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_033,romaji_hidden_days,Romaji Hidden Days,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_034,srs_reviews_completed,Srs Reviews Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_srs_reviews|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_035,srs_zero_due_days,Srs Zero Due Days,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_srs_reviews|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_036,stroke_order_drills_completed,Stroke Order Drills Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_037,te_form_lessons_completed,Te Form Lessons Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_038,verb_conjugation_accuracy,Verb Conjugation Accuracy,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_039,vocab_known_adjective,Vocab Known Adjective,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_040,vocab_known_count,Vocab Known Count,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_041,vocab_known_food,Vocab Known Food,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_042,vocab_known_people,Vocab Known People,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_043,vocab_known_place,Vocab Known Place,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_044,vocab_known_time,Vocab Known Time,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_045,vocab_known_verb,Vocab Known Verb,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_046,yoon_completed,Yoon Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
