id,lesson_id,lesson_title_id,map_type,dataset_ref,source_entity_type,filter_json,target_count,required_count,sort_strategy,selection_strategy,quiz_template_keys,srs_card_type,display_mode,review_status,notes
lesson_map_n5_0039,les_0402,～は～です,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|particle_gap_choice,,quiz,curated_seed,
lesson_map_n5_0040,les_0403,This/That/Which,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""tags_contains"": ""demonstrative""}",10,8,display_order,sequential,vocab_meaning_choice|grammar_sentence_order,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0041,les_0403,This/That/Which,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,vocab_meaning_choice|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0042,les_0404,Question Words + か,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""tags_contains"": ""question""}",15,12,display_order,sequential,grammar_meaning_choice|vocab_sentence_gap,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0043,les_0404,Question Words + か,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0044,les_0501,Particle は vs が,primary_content,jlpt_n5_particles_seed.csv,particles,"{""particle"": [""は"", ""が""]}",15,12,display_order,sequential,particle_gap_choice,,lesson_page,curated_seed,
lesson_map_n5_0045,les_0501,Particle は vs が,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,particle_gap_choice,,quiz,curated_seed,
lesson_map_n5_0046,les_0502,Particle を,primary_content,jlpt_n5_particles_seed.csv,particles,"{""particle"": ""を""}",10,8,display_order,sequential,particle_gap_choice,,lesson_page,curated_seed,
lesson_map_n5_0047,les_0502,Particle を,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,particle_gap_choice,,quiz,curated_seed,
lesson_map_n5_0048,les_0503,Particle の,primary_content,jlpt_n5_particles_seed.csv,particles,"{""particle"": ""の""}",10,8,display_order,sequential,particle_gap_choice,,lesson_page,curated_seed,
lesson_map_n5_0049,les_0503,Particle の,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,particle_gap_choice,,quiz,curated_seed,
lesson_map_n5_0050,les_0504,Particle に / へ,primary_content,jlpt_n5_particles_seed.csv,particles,"{""particle"": [""に"", ""へ""]}",15,12,display_order,sequential,particle_gap_choice,,lesson_page,curated_seed,
lesson_map_n5_0051,les_0504,Particle に / へ,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,particle_gap_choice,,quiz,curated_seed,
lesson_map_n5_0052,les_0505,Particle で / と / も,primary_content,jlpt_n5_particles_seed.csv,particles,"{""particle"": [""で"", ""と"", ""も""]}",15,12,display_order,sequential,particle_gap_choice,,lesson_page,curated_seed,
lesson_map_n5_0053,les_0505,Particle で / と / も,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,particle_gap_choice,,quiz,curated_seed,
lesson_map_n5_0054,les_0506,Particle Checkpoint,primary_content,jlpt_n5_particles_seed.csv,particles,"{""is_core_n5"": ""true""}",15,12,display_order,sequential,particle_gap_choice|grammar_sentence_order,,lesson_page,curated_seed,
lesson_map_n5_0055,les_0506,Particle Checkpoint,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,particle_gap_choice|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0056,les_0601,あります / います,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": [""あります"", ""います""]}",15,12,display_order,sequential,grammar_meaning_choice|vocab_sentence_gap,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0057,les_0601,あります / います,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0058,les_0602,Location Words,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,mixed,"{""semantic_category"": ""location""}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,lesson_page,curated_seed,
lesson_map_n5_0059,les_0602,Location Words,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0060,les_0603,Place Sentences,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""sentence_type"": [""existence"", ""place""]}",15,12,display_order,sequential,vocab_sentence_gap|grammar_sentence_order,,lesson_page,curated_seed,
lesson_map_n5_0061,les_0603,Place Sentences,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,vocab_sentence_gap|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0062,les_0604,Foundation Gate,primary_content,jlpt_n5_quiz_templates_seed.csv,mixed,"{""lesson_scope"": [""particles"", ""grammar"", ""sentence""]}",25,20,display_order,sequential,particle_gap_choice|grammar_sentence_order|vocab_sentence_gap,,lesson_page,curated_seed,
lesson_map_n5_0063,les_0604,Foundation Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,particle_gap_choice|grammar_sentence_order|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0064,les_0701,Family Words,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": ""family""}",10,8,display_order,sequential,vocab_meaning_choice|vocab_from_meaning_choice,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0065,les_0701,Family Words,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_from_meaning_choice,,quiz,curated_seed,
lesson_map_n5_0066,les_0702,People & Jobs,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""people"", ""jobs""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0067,les_0702,People & Jobs,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0068,les_0703,Body & Health Basics,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""body"", ""health""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0069,les_0703,Body & Health Basics,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0070,les_0704,People Vocab Review,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""family"", ""people"", ""jobs"", ""body"", ""health""]}",15,12,display_order,sequential,vocab_meaning_choice|vocab_reading_choice,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0071,les_0704,People Vocab Review,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_reading_choice,,quiz,curated_seed,
lesson_map_n5_0072,les_0801,Food & Drink,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""food"", ""drink""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0073,les_0801,Food & Drink,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0074,les_0802,Home & Objects,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""home"", ""objects""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0075,les_0802,Home & Objects,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0076,les_0803,Shopping Words,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""shopping"", ""money""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0077,les_0803,Shopping Words,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0078,les_0804,Food & Object Review,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""food"", ""drink"", ""home"", ""objects"", ""shopping""]}",15,12,display_order,sequential,vocab_meaning_choice|vocab_reading_choice,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0079,les_0804,Food & Object Review,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_reading_choice,,quiz,curated_seed,
lesson_map_n5_0080,les_0901,Places & Buildings,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""places"", ""buildings""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0081,les_0901,Places & Buildings,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0082,les_0902,Transport & Directions,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""transport"", ""direction""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0083,les_0902,Transport & Directions,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0084,les_0903,Time & Frequency Words,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""time"", ""frequency""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0085,les_0903,Time & Frequency Words,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0086,les_0904,Weather & Nature,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""semantic_category"": [""weather"", ""nature"", ""season""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0087,les_0904,Weather & Nature,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0088,les_0905,Core Vocab Gate,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""is_common"": ""true""}",25,20,display_order,sequential,vocab_meaning_choice|vocab_reading_choice|vocab_from_meaning_choice,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0089,les_0905,Core Vocab Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_reading_choice|vocab_from_meaning_choice,,quiz,curated_seed,
lesson_map_n5_0090,les_1001,Verb Groups,primary_content,jlpt_n5_verb_conjugation_rules_seed.csv,grammar,"{""rule_family"": ""verb_group_detection""}",15,12,display_order,sequential,verb_conjugation_choice,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0091,les_1001,Verb Groups,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,verb_conjugation_choice,,quiz,curated_seed,
lesson_map_n5_0092,les_1002,ます / ません,primary_content,jlpt_n5_verb_conjugation_rules_seed.csv,grammar,"{""form_key"": [""masu_form"", ""masen_form""]}",15,12,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0093,les_1002,ます / ません,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing,,quiz,curated_seed,
lesson_map_n5_0094,les_1003,ました / ませんでした,primary_content,jlpt_n5_verb_conjugation_rules_seed.csv,grammar,"{""form_key"": [""mashita_form"", ""masen_deshita_form""]}",15,12,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0095,les_1003,ました / ませんでした,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing,,quiz,curated_seed,
lesson_map_n5_0096,les_1004,Plain ない / た / なかった,primary_content,jlpt_n5_verb_conjugation_rules_seed.csv,grammar,"{""form_key"": [""nai_form"", ""ta_form"", ""nakatta_form""]}",15,12,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0097,les_1004,Plain ない / た / なかった,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing,,quiz,curated_seed,
lesson_map_n5_0098,les_1005,Common N5 Verbs Deck,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"{""part_of_speech_id"": [""kata_kerja"", ""kata_kerja_suru""]}",10,8,display_order,sequential,vocab_meaning_choice|verb_conjugation_choice,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0099,les_1005,Common N5 Verbs Deck,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|verb_conjugation_choice,,quiz,curated_seed,
lesson_map_n5_0100,les_1101,て Form,primary_content,jlpt_n5_verb_conjugation_rules_seed.csv,grammar,"{""form_key"": ""te_form""}",15,12,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0101,les_1101,て Form,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing,,quiz,curated_seed,
lesson_map_n5_0102,les_1102,てください / ないでください,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": [""～てください"", ""～ないでください""]}",15,12,display_order,sequential,grammar_meaning_choice|grammar_sentence_order,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0103,les_1102,てください / ないでください,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0104,les_1103,ています,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": ""～ています""}",15,12,display_order,sequential,grammar_meaning_choice|vocab_sentence_gap,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0105,les_1103,ています,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0106,les_1104,てもいい / てはいけません,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": [""～てもいいです"", ""～てはいけません""]}",15,12,display_order,sequential,grammar_meaning_choice|grammar_sentence_order,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0107,les_1104,てもいい / てはいけません,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0108,les_1105,"てから / て, て",primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": [""～てから"", ""～て、～て""]}",10,8,display_order,sequential,grammar_sentence_order|vocab_sentence_gap,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0109,les_1105,"てから / て, て",quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_sentence_order|vocab_sentence_gap,,quiz,curated_seed,
