id,jlpt_level,vocab_id,display_order,expression,reading,romaji,part_of_speech_id,semantic_category,meaning_id,example_sentence_jp,example_sentence_romaji,example_sentence_id,sentence_pattern,target_kanji_ids,target_kanji_chars,audio_path,source_basis,source_url,review_status,notes
vocab_ex_n5_0017,N5,vocab_n5_0017,17,あそこ,あそこ,asoko,pronomina,tempat_bangunan,di sana,あそこですか。,asoko desu ka.,Apakah/siapa/apa: di sana?,question_expression,,,/assets/audio/examples/vocab/n5/0017.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0018,N5,vocab_n5_0018,18,遊ぶ,あそぶ,asobu,kata_kerja,aksi_kegiatan,bermain,私は遊ぶことができます。,Watashi wa asobu koto ga dekimasu.,Saya bisa bermain.,verb_koto_ga_dekimasu,,,/assets/audio/examples/vocab/n5/0018.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0019,N5,vocab_n5_0019,19,暖かい,あたたかい,atatakai,kata_sifat_i,alam_cuaca,hangat,暖かいです。,atatakai desu.,hangat.,i_adjective_desu,,,/assets/audio/examples/vocab/n5/0019.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0020,N5,vocab_n5_0020,20,頭,あたま,atama,kata_benda,tubuh_kesehatan,kepala,頭があります。,atama ga arimasu.,Ada kepala.,noun_arimasu,,,/assets/audio/examples/vocab/n5/0020.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0021,N5,vocab_n5_0021,21,新しい,あたらしい,atarashii,kata_sifat_i,sifat_umum,baru,新しいです。,atarashii desu.,baru.,i_adjective_desu,kanji_n5_096,新,/assets/audio/examples/vocab/n5/0021.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0022,N5,vocab_n5_0022,22,あちら,あちら,achira,pronomina,tempat_bangunan,this way (polite),あちらですか。,achira desu ka.,Apakah/siapa/apa: this way (polite)?,question_expression,,,/assets/audio/examples/vocab/n5/0022.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0023,N5,vocab_n5_0023,23,暑い,あつい,atsui,kata_sifat_i,alam_cuaca,panas (cuaca),暑いです。,atsui desu.,panas (cuaca).,i_adjective_desu,,,/assets/audio/examples/vocab/n5/0023.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0024,N5,vocab_n5_0024,24,熱い,あつい,atsui,kata_sifat_i,sifat_keadaan,panas (benda),熱いです。,atsui desu.,panas (benda).,i_adjective_desu,,,/assets/audio/examples/vocab/n5/0024.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0025,N5,vocab_n5_0025,25,厚い,あつい,atsui,kata_sifat_i,sifat_keadaan,tebal,厚いです。,atsui desu.,tebal.,i_adjective_desu,,,/assets/audio/examples/vocab/n5/0025.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0026,N5,vocab_n5_0026,26,あっち,あっち,acchi,pronomina,tempat_bangunan,over there,あっちですか。,acchi desu ka.,Apakah/siapa/apa: over there?,question_expression,,,/assets/audio/examples/vocab/n5/0026.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0027,N5,vocab_n5_0027,27,後,あと,ato,kata_benda,umum,"setelah, belakang",後があります。,ato ga arimasu.,"Ada setelah, belakang.",noun_arimasu,kanji_n5_019,後,/assets/audio/examples/vocab/n5/0027.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0028,N5,vocab_n5_0028,28,あなた,あなた,anata,pronomina,keluarga_orang,anda/kamu,あなたですか。,anata desu ka.,Apakah/siapa/apa: anda/kamu?,question_expression,,,/assets/audio/examples/vocab/n5/0028.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0029,N5,vocab_n5_0029,29,兄,あに,ani,kata_benda,keluarga_orang,kakak laki-laki,兄がいます。,ani ga imasu.,Ada kakak laki-laki.,noun_imasu,,,/assets/audio/examples/vocab/n5/0029.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0030,N5,vocab_n5_0030,30,姉,あね,ane,kata_benda,keluarga_orang,kakak perempuan,姉がいます。,ane ga imasu.,Ada kakak perempuan.,noun_imasu,,,/assets/audio/examples/vocab/n5/0030.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0031,N5,vocab_n5_0031,31,アパート,アパート,apaato,kata_benda,tempat_bangunan,apartemen,アパートがあります。,apaato ga arimasu.,Ada apartemen.,noun_arimasu,,,/assets/audio/examples/vocab/n5/0031.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0032,N5,vocab_n5_0032,32,あの,あの,ano,pronomina,fungsi_bahasa,"that over there, suka that, that way, um...",あのですか。,ano desu ka.,"Apakah/siapa/apa: that over there, suka that, that way, um...?",question_expression,,,/assets/audio/examples/vocab/n5/0032.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0033,N5,vocab_n5_0033,33,浴びる,あびる,abiru,kata_kerja,aksi_kegiatan,mandi,私は浴びることができます。,Watashi wa abiru koto ga dekimasu.,Saya bisa mandi.,verb_koto_ga_dekimasu,,,/assets/audio/examples/vocab/n5/0033.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0034,N5,vocab_n5_0034,34,危ない,あぶない,abunai,kata_sifat_i,sifat_umum,berbahaya,危ないです。,abunai desu.,berbahaya.,i_adjective_desu,,,/assets/audio/examples/vocab/n5/0034.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0035,N5,vocab_n5_0035,35,甘い,あまい,amai,kata_sifat_i,sifat_umum,manis,甘いです。,amai desu.,manis.,i_adjective_desu,,,/assets/audio/examples/vocab/n5/0035.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0036,N5,vocab_n5_0036,36,余り,あまり,amari,kata_benda,umum,"not very, surplus",余りがあります。,amari ga arimasu.,"Ada not very, surplus.",noun_arimasu,,,/assets/audio/examples/vocab/n5/0036.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0037,N5,vocab_n5_0037,37,雨,あめ,ame,kata_benda,alam_cuaca,hujan,雨があります。,ame ga arimasu.,Ada hujan.,noun_arimasu,kanji_n5_080,雨,/assets/audio/examples/vocab/n5/0037.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0038,N5,vocab_n5_0038,38,飴,あめ,ame,kata_benda,umum,(hard) candy,飴があります。,ame ga arimasu.,Ada (hard) candy.,noun_arimasu,,,/assets/audio/examples/vocab/n5/0038.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0039,N5,vocab_n5_0039,39,洗う,あらう,arau,kata_kerja,aksi_kegiatan,mencuci,私は洗うことができます。,Watashi wa arau koto ga dekimasu.,Saya bisa mencuci.,verb_koto_ga_dekimasu,,,/assets/audio/examples/vocab/n5/0039.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0040,N5,vocab_n5_0040,40,在る,ある,aru,kata_kerja,aksi_kegiatan,"be, have",私は在ることができます。,Watashi wa aru koto ga dekimasu.,"Saya bisa be, have.",verb_koto_ga_dekimasu,,,/assets/audio/examples/vocab/n5/0040.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0041,N5,vocab_n5_0041,41,有る,ある,aru,kata_kerja,aksi_kegiatan,ada (benda mati),私は有ることができます。,Watashi wa aru koto ga dekimasu.,Saya bisa ada (benda mati).,verb_koto_ga_dekimasu,,,/assets/audio/examples/vocab/n5/0041.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0042,N5,vocab_n5_0042,42,歩く,あるく,aruku,kata_kerja,aksi_kegiatan,berjalan,私は歩くことができます。,Watashi wa aruku koto ga dekimasu.,Saya bisa berjalan.,verb_koto_ga_dekimasu,,,/assets/audio/examples/vocab/n5/0042.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0043,N5,vocab_n5_0043,43,あれ,あれ,are,pronomina,fungsi_bahasa,that satu (over there),あれですか。,are desu ka.,Apakah/siapa/apa: that satu (over there)?,question_expression,,,/assets/audio/examples/vocab/n5/0043.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
