id,jlpt_level,set_type,display_order,particle,reading_kana,romaji,romaji_alt,particle_category,function_key,meaning_id,meaning_en,usage_explanation_id,pattern,example_jp,example_romaji,example_meaning_id,position,is_common,is_core_n5,recommended_for_quiz,confusable_with,common_mistake_id,input_aliases,source_url,notes
prt_n5_011,N5,core_n5_useful,11,に,に,ni,,case_particle,recipient_or_target_marker,kepada; pada target,to; recipient/target,"Menandai penerima atau target aksi seperti memberi, bertanya, bertemu.",Person + に + verb,先生に聞きます。,Sensei ni kikimasu.,Saya bertanya kepada guru.,after_person_noun,true,true,true,と,会う bisa memakai に untuk target bertemu; と lebih terasa 'bersama/dengan'.,ni|に,https://www.japanesepod101.com/japanese-particles/,Useful with common N5 verbs.
prt_n5_012,N5,core_n5_grammar,12,に,に,ni,,case_particle,purpose_go_to_do,untuk melakukan sesuatu,in order to do,Dipakai dengan verb stem + に行く/来る untuk tujuan aktivitas.,Verb stem + に + 行く/来る,ご飯を食べに行きます。,Gohan o tabe ni ikimasu.,Saya pergi untuk makan.,after_verb_stem,true,true,true,ために,Untuk pola ini pakai stem bentuk ます tanpa ます: 食べます → 食べに行く.,ni|に,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 grammar point にいく.
prt_n5_013,N5,core_n5_essential,13,で,で,de,,case_particle,action_location_marker,di tempat aksi terjadi,at/in; location of action,Menandai lokasi tempat suatu aksi dilakukan.,Place + で + action verb,図書館で勉強します。,Toshokan de benkyou shimasu.,Saya belajar di perpustakaan.,after_place_noun,true,true,true,に,Aksi dilakukan di tempat pakai で; lokasi keberadaan pakai に.,de|で,https://www.mlcjapanese.co.jp/n5_01_30.html,Core de vs ni quiz.
prt_n5_014,N5,core_n5_essential,14,で,で,de,,case_particle,means_tool_marker,dengan; menggunakan alat/cara,by; with; using,"Menandai alat, kendaraan, bahasa, atau cara yang digunakan.",Tool/means + で + verb,箸で食べます。,Hashi de tabemasu.,Saya makan dengan sumpit.,after_tool_or_means_noun,true,true,true,に|と,"Untuk alat/cara pakai で, bukan と.",de|で,https://www.mlcjapanese.co.jp/n5_01_30.html,Tool/means marker.
prt_n5_015,N5,core_n5_essential,15,で,で,de,,case_particle,group_or_scope_marker,dengan kelompok; dalam lingkup,in/with a group; scope,Menunjukkan aksi dilakukan oleh satu orang/kelompok atau dalam batas tertentu.,Number/group + で + verb,一人で行きます。,Hitori de ikimasu.,Saya pergi sendiri.,after_number_or_group,true,true,true,と,一人で berarti sendiri; 一人と berarti dengan satu orang lain.,de|で,https://www.mlcjapanese.co.jp/n5_01_30.html,MLC lists group use for で.
prt_n5_016,N5,extended_n5_useful,16,で,で,de,,case_particle,cause_reason_marker,karena; akibat,because of; due to,Menandai penyebab berupa kata benda.,N + で + result,病気で学校を休みました。,Byouki de gakkou o yasumimashita.,Saya tidak masuk sekolah karena sakit.,after_cause_noun,true,false,false,から|ので,で untuk sebab berbentuk noun; から/ので untuk klausa alasan.,de|で,https://www.japanesepod101.com/japanese-particles/,Optional useful beginner usage.
prt_n5_017,N5,core_n5_essential,17,へ,え,e,he,case_particle,direction_marker,ke arah; menuju,toward; to,"Menandai arah/tujuan gerak. Ditulis へ, dibaca e.",Place + へ + movement verb,日本へ行きます。,Nihon e ikimasu.,Saya pergi ke Jepang.,after_place_noun,true,true,true,に,へ lebih menekankan arah; に lebih menekankan tujuan/arrival point.,e|he|へ,https://www.mlcjapanese.co.jp/n5_01_30.html,Reading exception: へ as particle is e.
prt_n5_018,N5,core_n5_essential,18,から,から,kara,,case_particle,starting_point_marker,dari; mulai dari,from; starting point,Menandai titik awal tempat atau waktu.,N/time/place + から,九時から勉強します。,Ku-ji kara benkyou shimasu.,Saya belajar mulai jam sembilan.,after_time_or_place,true,true,true,まで,から adalah titik mulai; まで adalah batas akhir.,kara|から,https://www.mlcjapanese.co.jp/n5_01_30.html,Core from marker.
prt_n5_019,N5,core_n5_grammar,19,から,から,kara,,conjunctive_particle,reason_marker,karena; sebab,because; since,Memberi alasan secara langsung.,Clause + から + result,雨ですから、行きません。,"Ame desu kara, ikimasen.","Karena hujan, saya tidak pergi.",after_clause,true,true,true,ので,から bisa terdengar lebih langsung daripada ので.,kara|から,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 grammar list includes から as because/from.
prt_n5_020,N5,core_n5_essential,20,まで,まで,made,,case_particle,ending_point_marker,sampai; hingga,until; up to,Menandai batas akhir tempat atau waktu.,N/time/place + まで,五時まで働きます。,Go-ji made hatarakimasu.,Saya bekerja sampai jam lima.,after_time_or_place,true,true,true,から,まで adalah batas akhir; から adalah titik mulai.,made|まで,https://www.mlcjapanese.co.jp/n5_01_30.html,Core until marker.
prt_n5_021,N5,core_n5_essential,21,の,の,no,,case_particle,possessive_marker,milik; punya,possessive; of,Menandai kepemilikan atau relasi antara dua noun.,N1 + の + N2,私の本です。,Watashi no hon desu.,Ini buku saya.,between_nouns,true,true,true,,Urutan Jepang: pemilik + の + benda.,no|の,https://www.mlcjapanese.co.jp/n5_01_30.html,Core possessive.
prt_n5_022,N5,core_n5_essential,22,の,の,no,,case_particle,noun_modification_marker,relasi/penjelas antar kata benda,noun modifier; belonging/category,Menghubungkan noun penjelas dengan noun utama.,Modifier noun + の + head noun,日本語の先生です。,Nihongo no sensei desu.,Dia guru bahasa Jepang.,between_nouns,true,true,true,,Tidak semua の diterjemahkan 'milik'; sering berarti kategori/relasi.,no|の,https://www.mlcjapanese.co.jp/n5_01_30.html,Belonging/category usage.
prt_n5_023,N5,core_n5_grammar,23,の,の,no,,nominalizer,verb_nominalizer,menjadikan klausa/kata kerja sebagai noun,nominalizer,"Mengubah verb/klausa menjadi frasa benda, sering muncul di のが好き.",Dictionary verb + の + が + adjective,本を読むのが好きです。,Hon o yomu no ga suki desu.,Saya suka membaca buku.,after_clause_or_dictionary_verb,true,true,true,こと,"の di sini bukan kepemilikan, tapi nominalizer.",no|の,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 grammar list includes の as verb nominalizer.
prt_n5_024,N5,core_n5_essential,24,と,と,to,,case_particle,exhaustive_and_marker,dan; daftar lengkap,and; exhaustive list,Menghubungkan noun dalam daftar lengkap.,N1 + と + N2,犬と猫がいます。,Inu to neko ga imasu.,Ada anjing dan kucing.,between_nouns,true,true,true,や,と terasa seperti daftar lengkap; や berarti 'dan lain-lain'.,to|と,https://www.mlcjapanese.co.jp/n5_01_30.html,Core noun connector.
prt_n5_025,N5,core_n5_essential,25,と,と,to,,case_particle,with_accompaniment_marker,dengan; bersama,with; together with,Menandai orang/benda yang menemani aksi.,Person + と + verb,友達と行きます。,Tomodachi to ikimasu.,Saya pergi dengan teman.,after_person_noun,true,true,true,に|で,友達と berarti bersama teman; 友達に bisa berarti kepada/target teman.,to|と,https://www.mlcjapanese.co.jp/n5_01_30.html,With/accompaniment usage.
prt_n5_026,N5,extended_n5_useful,26,と,と,to,,quotation_particle,quotation_marker,penanda kutipan,quotation marker,Menandai isi yang dikatakan/dipikirkan.,Quote + と + 言う/思う,「はい」と言いました。,"""Hai"" to iimashita.","Dia berkata, “ya”.",after_quoted_content,true,false,false,,と sebagai kutipan berbeda dari と sebagai 'dan/dengan'.,to|と,https://www.japanesepod101.com/japanese-particles/,Useful but can be delayed after core N5.
prt_n5_027,N5,core_n5_essential,27,や,や,ya,,case_particle,non_exhaustive_and_marker,dan; dan lain-lain,and; such as; non-exhaustive list,Menghubungkan contoh dalam daftar yang tidak lengkap.,N1 + や + N2,パンや卵を買います。,Pan ya tamago o kaimasu.,"Saya membeli roti, telur, dan lain-lain.",between_nouns,true,true,true,と,や tidak menyebut semua item; と biasanya daftar lengkap.,ya|や,https://www.mlcjapanese.co.jp/n5_01_30.html,Core non-exhaustive list marker.
prt_n5_028,N5,core_n5_essential,28,か,か,ka,,sentence_ending_particle,question_marker,penanda pertanyaan,question marker,Diletakkan di akhir kalimat untuk membuat pertanyaan sopan/netral.,Sentence + か,学生ですか。,Gakusei desu ka.,Apakah kamu pelajar?,sentence_final,true,true,true,？,"Dalam tulisan Jepang formal, か sering cukup tanpa tanda tanya.",ka|か,https://www.mlcjapanese.co.jp/n5_01_30.html,Core question marker.
prt_n5_029,N5,core_n5_grammar,29,か,か,ka,,conjunctive_particle,or_choice_marker,atau,or; choice marker,Menandai pilihan antara dua hal.,N1 + か + N2,コーヒーかお茶を飲みます。,Koohii ka ocha o nomimasu.,Saya minum kopi atau teh.,between_choices,true,true,true,や|と,か sebagai 'atau' berbeda dari か di akhir kalimat sebagai pertanyaan.,ka|か,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 grammar list includes か as or/question particle.
prt_n5_030,N5,core_n5_essential,30,も,も,mo,,binding_particle,also_too_marker,juga,also; too; as well,Menandai tambahan atau kesamaan.,N + も + predicate,私も行きます。,Watashi mo ikimasu.,Saya juga pergi.,after_noun_or_phrase,true,true,true,は,も biasanya menggantikan は/が/を pada posisi yang sama.,mo|も,https://www.mlcjapanese.co.jp/n5_01_30.html,Core also marker.
prt_n5_031,N5,core_n5_grammar,31,も,も,mo,,binding_particle,interrogative_negative_none,tidak ada siapa pun/apa pun,no one; nothing; not any,"Dipakai dengan kata tanya dan bentuk negatif: 何も, 誰も, どこにも.",Question word + も + negative,何も食べません。,Nani mo tabemasen.,Saya tidak makan apa pun.,after_interrogative,true,true,true,か,何か = sesuatu; 何も + negatif = tidak apa pun.,mo|も,https://www.mlcjapanese.co.jp/n5_01_30.html,Common N5 pattern.
prt_n5_032,N5,core_n5_essential,32,よ,よ,yo,,sentence_ending_particle,new_information_emphasis,lho; penekanan informasi,emphasis; telling new information,Dipakai di akhir kalimat saat memberi tahu atau menekankan informasi.,Sentence + よ,これはおいしいですよ。,Kore wa oishii desu yo.,Ini enak lho.,sentence_final,true,true,true,ね,よ memberi informasi/penekanan; ね meminta persetujuan atau empati.,yo|よ,https://www.mlcjapanese.co.jp/n5_01_30.html,Sentence ending particle.
prt_n5_033,N5,core_n5_essential,33,ね,ね,ne,,sentence_ending_particle,confirmation_agreement,ya kan; kan; ya,right? isn't it? agreement,"Dipakai untuk meminta persetujuan, konfirmasi, atau membangun rasa kebersamaan.",Sentence + ね,いい天気ですね。,Ii tenki desu ne.,Cuacanya bagus ya.,sentence_final,true,true,true,よ,ね biasanya mencari persetujuan; よ lebih memberi tahu/menegaskan.,ne|ね,https://www.mlcjapanese.co.jp/n5_01_30.html,Sentence ending particle.
prt_n5_034,N5,extended_n5_grammar,34,だけ,だけ,dake,,adverbial_particle,only_just,hanya; cuma,only; just,Membatasi makna menjadi hanya satu hal.,N / amount / clause + だけ,水だけ飲みます。,Mizu dake nomimasu.,Saya hanya minum air.,after_limited_item,true,false,true,しか,だけ bisa dipakai tanpa bentuk negatif; しか biasanya perlu negatif.,dake|だけ,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 grammar point; useful particle-like item.
prt_n5_035,N5,extended_n5_grammar,35,くらい,くらい,kurai,gurai,adverbial_particle,approximate_amount,sekitar; kira-kira,about; approximately,Menunjukkan jumlah atau derajat perkiraan. Bentuk ぐらい juga umum.,Amount/time + くらい/ぐらい,三十分くらい待ちました。,Sanjuppun kurai machimashita.,Saya menunggu sekitar tiga puluh menit.,after_amount_or_degree,true,false,true,ごろ,くらい untuk durasi/jumlah; ごろ untuk sekitar titik waktu.,kurai|gurai|くらい|ぐらい,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 grammar list includes くらい.
prt_n5_036,N5,extended_n5_grammar,36,ぐらい,ぐらい,gurai,kurai,adverbial_particle,approximate_amount_variant,sekitar; kira-kira,about; approximately,Varian umum dari くらい.,Amount/time + ぐらい,十人ぐらいいます。,Juu-nin gurai imasu.,Ada sekitar sepuluh orang.,after_amount_or_degree,true,false,false,くらい,"Untuk app, boleh normalisasi ぐらい sebagai varian dari くらい.",gurai|kurai|ぐらい|くらい,https://japanesetest4you.com/jlpt-n5-grammar-list/,Variant row for search/autocomplete normalization.
prt_n5_037,N5,extended_n5_grammar,37,より,より,yori,,case_particle,comparison_than,daripada,than; compared with,Menandai pembanding dalam pola perbandingan.,A より B のほうが adjective,犬より猫のほうが好きです。,Inu yori neko no hou ga suki desu.,Saya lebih suka kucing daripada anjing.,after_compared_item,true,false,true,から,"より dalam perbandingan berarti 'daripada', bukan 'dari' biasa.",yori|より,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 comparison grammar uses より.
prt_n5_038,N5,extended_n5_grammar,38,ので,ので,node,,conjunctive_particle,reason_because,karena; sebab,because; so,Memberi alasan dengan nuansa lebih lembut/netral daripada から.,Clause + ので + result,雨なので、行きません。,"Ame na node, ikimasen.","Karena hujan, saya tidak pergi.",after_clause,true,false,true,から,Untuk noun/na-adj sebelum ので biasanya pakai な: 雨なので.,node|ので,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 grammar list includes ので.
prt_n5_039,N5,combo_practice,39,には,には,niwa,niha,particle_combination,location_as_topic,kalau di/untuk; topik lokasi/target,as for/in/at; topicized ni phrase,Gabungan に + は untuk menjadikan lokasi/target sebagai topik atau kontras.,N/place + には + predicate,教室には学生がいます。,Kyoushitsu ni wa gakusei ga imasu.,Di kelas ada murid.,after_location_or_target,true,false,false,に|は,Ini bukan partikel baru sepenuhnya; ini gabungan に + は.,niwa|niha|には,https://www.guidetojapanese.org/particles2.html,For parser/search and advanced practice.
prt_n5_040,N5,combo_practice,40,では,では,dewa,deha|ja,particle_combination,action_location_as_topic_or_contrast,kalau di; dalam konteks,as for at/in; topicized de phrase,Gabungan で + は untuk menjadikan lokasi/cara sebagai topik atau kontras. Dalam percakapan bisa menjadi じゃ.,N/place/means + では + predicate,ここでは静かにしてください。,Koko de wa shizuka ni shite kudasai.,"Di sini, tolong tenang.",after_location_or_means,true,false,false,で|は,では bisa dibaca dewa sebagai kombinasi partikel; jangan dibaca deha.,dewa|deha|では|じゃ,https://www.guidetojapanese.org/particles2.html,Helpful for reading parser.
prt_n5_041,N5,combo_practice,41,にも,にも,nimo,,particle_combination,also_to_or_at,juga ke/di/kepada,also to/at/in,"Gabungan に + も untuk menambahkan lokasi, waktu, atau target.",N + にも + predicate,図書館にも行きました。,Toshokan ni mo ikimashita.,Saya juga pergi ke perpustakaan.,after_ni_phrase,true,false,false,に|も,"にも = に + も, bukan satu fungsi acak.",nimo|にも,https://www.guidetojapanese.org/particles2.html,Combo support for parsing.
prt_n5_042,N5,combo_practice,42,でも,でも,demo,,particle_combination,also_at_or_even,juga di/dengan; bahkan,also at/by; even,Gabungan で + も atau bentuk adverbial yang berarti bahkan/meskipun konteks tertentu.,N + でも + predicate,家でも勉強します。,Ie demo benkyou shimasu.,Saya juga belajar di rumah.,after_de_phrase_or_noun,true,false,false,で|も,でも sebagai 'juga di/dengan' berbeda dari でも sebagai konjungsi 'tapi'.,demo|でも,https://www.guidetojapanese.org/particles2.html,Combo support; useful but not core N5 quiz by default.
