id,jlpt_level,set_type,display_order,kanji,kanji_meaning_id,radical_form_used,canonical_radical,radical_id,radical_number,radical_name_hiragana,radical_name_romaji,radical_meaning_id,radical_position_guess,is_variant_form,is_core_80,source_basis,source_url,notes
n5_kanji_radmap_014,N5,core_80_common_n5,14,時,waktu; jam,日,日,rad_kx_072,72,ひ,hi,matahari; hari; waktu,whole_or_left,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_015,N5,core_80_common_n5,15,行,pergi; melakukan; baris,行,行,rad_kx_144,144,ぎょうがまえ,gyougamae,pergi; berjalan,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_016,N5,core_80_common_n5,16,見,melihat; tampak,見,見,rad_kx_147,147,みる,miru,melihat,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_017,N5,core_80_common_n5,17,月,bulan; bulan kalender,月,肉,rad_kx_130,130,にく,niku,daging,whole,true,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_018,N5,core_80_common_n5,18,分,bagian; menit; mengerti,刀,刀,rad_kx_018,18,かたな,katana,pisau; pedang,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_019,N5,core_80_common_n5,19,後,belakang; setelah; nanti,彳,彳,rad_kx_060,60,ぎょうにんべん,gyouninben,langkah; jalan,hen,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_020,N5,core_80_common_n5,20,前,depan; sebelum,刀,刀,rad_kx_018,18,かたな,katana,pisau; pedang,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_021,N5,core_80_common_n5,21,生,hidup; lahir; mentah,生,生,rad_kx_100,100,うまれる,umareru,lahir; hidup,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_022,N5,core_80_common_n5,22,五,lima,二,二,rad_kx_007,7,に,ni,dua,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_023,N5,core_80_common_n5,23,間,jarak; ruang; antara,門,門,rad_kx_169,169,もんがまえ,mongamae,gerbang; pintu,kamae,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_024,N5,core_80_common_n5,24,上,atas; naik,一,一,rad_kx_001,1,いち,ichi,satu; garis horizontal,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_025,N5,core_80_common_n5,25,東,timur,木,木,rad_kx_075,75,き,ki,pohon; kayu,whole_or_left,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_026,N5,core_80_common_n5,26,四,empat,囗,囗,rad_kx_031,31,くにがまえ,kunigamae,batas; enclosure,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_027,N5,core_80_common_n5,27,今,sekarang,人,人,rad_kx_009,9,ひと,hito,orang,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_028,N5,core_80_common_n5,28,金,emas; logam; uang,金,金,rad_kx_167,167,かね,kane,logam; emas; mineral,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_029,N5,core_80_common_n5,29,九,sembilan,乙,乙,rad_kx_005,5,おつ,otsu,kedua; belakangan,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_030,N5,core_80_common_n5,30,入,masuk; memasukkan,入,入,rad_kx_011,11,いる,iru,masuk,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_031,N5,core_80_common_n5,31,学,belajar; ilmu,子,子,rad_kx_039,39,こ,ko,anak,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_032,N5,core_80_common_n5,32,高,tinggi; mahal,高,高,rad_kx_189,189,たかい,takai,tinggi,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_033,N5,core_80_common_n5,33,円,lingkaran; yen; bulat,冂,冂,rad_kx_013,13,けいがまえ,keigamae,bingkai/enclosure,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_034,N5,core_80_common_n5,34,子,anak,子,子,rad_kx_039,39,こ,ko,anak,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_035,N5,core_80_common_n5,35,外,luar; selain,夕,夕,rad_kx_036,36,ゆうべ,yuube,sore; malam,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_036,N5,core_80_common_n5,36,八,delapan,八,八,rad_kx_012,12,はち,hachi,delapan,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_037,N5,core_80_common_n5,37,六,enam,八,八,rad_kx_012,12,はち,hachi,delapan,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_038,N5,core_80_common_n5,38,下,bawah; turun; rendah,一,一,rad_kx_001,1,いち,ichi,satu; garis horizontal,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_039,N5,core_80_common_n5,39,来,datang; berikutnya,木,木,rad_kx_075,75,き,ki,pohon; kayu,whole_or_left,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_040,N5,core_80_common_n5,40,気,semangat; udara; suasana,气,气,rad_kx_084,84,きがまえ,kigamae,uap; udara,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_041,N5,core_80_common_n5,41,小,kecil,小,小,rad_kx_042,42,しょう,shou,kecil,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_042,N5,core_80_common_n5,42,七,tujuh,一,一,rad_kx_001,1,いち,ichi,satu; garis horizontal,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_043,N5,core_80_common_n5,43,山,gunung,山,山,rad_kx_046,46,やま,yama,gunung,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_044,N5,core_80_common_n5,44,話,bicara; cerita,言,言,rad_kx_149,149,げん,gen,kata; ucapan,hen_or_whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_045,N5,core_80_common_n5,45,女,perempuan; wanita,女,女,rad_kx_038,38,おんな,onna,perempuan,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_046,N5,core_80_common_n5,46,北,utara,匕,匕,rad_kx_021,21,さじ,saji,sendok,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_047,N5,core_80_common_n5,47,午,tengah hari; shio kuda,十,十,rad_kx_024,24,じゅう,juu,sepuluh,whole_or_component,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_048,N5,core_80_common_n5,48,百,seratus,白,白,rad_kx_106,106,しろ,shiro,putih,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_049,N5,core_80_common_n5,49,書,menulis,曰,曰,rad_kx_073,73,ひらび,hirabi,berkata,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_050,N5,core_80_common_n5,50,先,sebelum; depan; lebih dulu,儿,儿,rad_kx_010,10,ひとあし,hitoashi,kaki manusia,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_051,N5,core_80_common_n5,51,名,nama; reputasi,口,口,rad_kx_030,30,くち,kuchi,mulut,whole_or_enclosure_or_right,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_052,N5,core_80_common_n5,52,川,sungai,川,川,rad_kx_047,47,さんぼんがわ,sanbongawa,sungai,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_053,N5,core_80_common_n5,53,千,seribu,十,十,rad_kx_024,24,じゅう,juu,sepuluh,whole_or_component,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_054,N5,core_80_common_n5,54,水,air,水,水,rad_kx_085,85,みず,mizu,air,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_055,N5,core_80_common_n5,55,半,setengah; tengah,十,十,rad_kx_024,24,じゅう,juu,sepuluh,whole_or_component,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_056,N5,core_80_common_n5,56,男,laki-laki; pria,田,田,rad_kx_102,102,た,ta,sawah; ladang,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_057,N5,core_80_common_n5,57,西,barat,襾,西,rad_kx_146,146,にし,nishi,barat; penutup,kanmuri,true,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_058,N5,core_80_common_n5,58,電,listrik,雨,雨,rad_kx_173,173,あめ,ame,hujan,kanmuri,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_059,N5,core_80_common_n5,59,校,sekolah,木,木,rad_kx_075,75,き,ki,pohon; kayu,whole_or_left,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_060,N5,core_80_common_n5,60,語,bahasa; kata; ucapan,言,言,rad_kx_149,149,げん,gen,kata; ucapan,hen_or_whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_061,N5,core_80_common_n5,61,土,tanah; bumi,土,土,rad_kx_032,32,つち,tsuchi,tanah,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_062,N5,core_80_common_n5,62,木,pohon; kayu,木,木,rad_kx_075,75,き,ki,pohon; kayu,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_063,N5,core_80_common_n5,63,聞,mendengar; mendengarkan; bertanya,耳,耳,rad_kx_128,128,みみ,mimi,telinga,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_064,N5,core_80_common_n5,64,食,makan; makanan,食,食,rad_kx_184,184,しょく,shoku,makanan; makan,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_065,N5,core_80_common_n5,65,車,mobil; kendaraan; roda,車,車,rad_kx_159,159,くるま,kuruma,kendaraan; roda; mobil,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_066,N5,core_80_common_n5,66,何,apa,亻,人,rad_kx_009,9,ひと,hito,orang,hen,true,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_067,N5,core_80_common_n5,67,南,selatan,十,十,rad_kx_024,24,じゅう,juu,sepuluh,whole_or_component,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_068,N5,core_80_common_n5,68,万,sepuluh ribu,一,一,rad_kx_001,1,いち,ichi,satu; garis horizontal,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_069,N5,core_80_common_n5,69,毎,setiap,毋,毋,rad_kx_080,80,なかれ,nakare,jangan; ibu,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_070,N5,core_80_common_n5,70,白,putih,白,白,rad_kx_106,106,しろ,shiro,putih,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_071,N5,core_80_common_n5,71,天,langit; surga,大,大,rad_kx_037,37,だい,dai,besar,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_072,N5,core_80_common_n5,72,母,ibu,毋,毋,rad_kx_080,80,なかれ,nakare,jangan; ibu,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_073,N5,core_80_common_n5,73,火,api,火,火,rad_kx_086,86,ひ,hi,api,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_074,N5,core_80_common_n5,74,右,kanan,口,口,rad_kx_030,30,くち,kuchi,mulut,whole_or_enclosure_or_right,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_075,N5,core_80_common_n5,75,読,membaca,言,言,rad_kx_149,149,げん,gen,kata; ucapan,hen_or_whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_076,N5,core_80_common_n5,76,友,teman,又,又,rad_kx_029,29,また,mata,lagi; tangan kanan,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_077,N5,core_80_common_n5,77,左,kiri,工,工,rad_kx_048,48,たくみ,takumi,kerja; keterampilan,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_078,N5,core_80_common_n5,78,休,istirahat; libur,亻,人,rad_kx_009,9,ひと,hito,orang,hen,true,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_079,N5,core_80_common_n5,79,父,ayah,父,父,rad_kx_088,88,ちち,chichi,ayah,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
