id,achievement_key,category,tier,display_order,title_id,title_en,description_id,criteria_summary_id,trigger_rule_key,metric_key,comparator,threshold_value,threshold_unit,scope_key,repeatability,repeat_limit,prerequisite_achievement_keys,reward_xp,reward_coins,reward_item_key,badge_icon_key,title_reward_key,rarity,hidden_until_unlocked,recommended_for_mvp,open_badges_compatible,open_badge_achievement_type,evidence_type,tags,source_url,notes
ach_n5_035,vocab_cat_verb,vocabulary,silver,35,Verb Collector,Verb Collector,Kuasai 50 vocab kategori verb.,Know 50 vocabulary items in category verb.,trigger_vocab_cat_verb,vocab_known_verb,>=,50,count,global,once,1,,100,20,,badge_vocab_cat_verb,,common,false,true,true,Achievement,system_metric,"vocab,category,verb",https://www.1edtech.org/standards/open-badges,
ach_n5_036,vocab_cat_adjective,vocabulary,silver,36,Adjective Hunter,Adjective Hunter,Kuasai 40 vocab kategori adjective.,Know 40 vocabulary items in category adjective.,trigger_vocab_cat_adjective,vocab_known_adjective,>=,40,count,global,once,1,,100,20,,badge_vocab_cat_adjective,,common,false,true,true,Achievement,system_metric,"vocab,category,adjective",https://www.1edtech.org/standards/open-badges,
ach_n5_037,grammar_10,grammar,bronze,37,10 Grammar Point,10 Grammar Point,Kuasai 10 grammar N5.,Complete 10 N5 grammar points.,trigger_grammar_10,grammar_completed_count,>=,10,count,global,once,1,,75,10,,badge_grammar_10,,common,false,true,true,Achievement,system_metric,"grammar,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_038,grammar_25,grammar,silver,38,25 Grammar Point,25 Grammar Point,Kuasai 25 grammar N5.,Complete 25 N5 grammar points.,trigger_grammar_25,grammar_completed_count,>=,25,count,global,once,1,,150,25,,badge_grammar_25,,common,false,true,true,Achievement,system_metric,"grammar,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_039,grammar_50,grammar,gold,39,50 Grammar Point,50 Grammar Point,Kuasai 50 grammar N5.,Complete 50 N5 grammar points.,trigger_grammar_50,grammar_completed_count,>=,50,count,global,once,1,,300,50,,badge_grammar_50,,common,false,true,true,Achievement,system_metric,"grammar,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_040,grammar_84,grammar,platinum,40,84 Grammar Point,84 Grammar Point,Kuasai 84 grammar N5.,Complete 84 N5 grammar points.,trigger_grammar_84,grammar_completed_count,>=,84,count,global,once,1,,550,90,,badge_grammar_84,,common,false,true,true,Achievement,system_metric,"grammar,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_041,grammar_113,grammar,legendary,41,113 Grammar Point,113 Grammar Point,Kuasai 113 grammar N5.,Complete 113 N5 grammar points.,trigger_grammar_113,grammar_completed_count,>=,113,count,global,once,1,,850,150,,badge_grammar_113,,common,false,true,true,Achievement,system_metric,"grammar,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_042,particles_core,particles,gold,42,Partikel Nggak Kabur,Partikel Nggak Kabur,Lulus quiz partikel inti minimal 80%.,Pass core particles checkpoint with at least 80%.,trigger_particles_core,particle_checkpoint_score,>=,80,percent,global,once,1,,250,50,,badge_particles_core,,common,false,true,true,Achievement,system_metric,"particles,grammar",https://www.1edtech.org/standards/open-badges,
ach_n5_043,verb_conj_master,conjugation,gold,43,Verb Engine,Verb Engine,Akurasi konjugasi verb 85%.,Reach 85% verb conjugation accuracy.,trigger_verb_conj_master,verb_conjugation_accuracy,>=,85,percent,global,once,1,,250,50,,badge_verb_conj_master,,common,false,true,true,Achievement,system_metric,"verb,conjugation",https://www.1edtech.org/standards/open-badges,
ach_n5_044,adj_conj_master,conjugation,gold,44,Adjective Wizard,Adjective Wizard,Akurasi konjugasi adjective 85%.,Reach 85% adjective conjugation accuracy.,trigger_adj_conj_master,adjective_conjugation_accuracy,>=,85,percent,global,once,1,,220,45,,badge_adj_conj_master,,common,false,true,true,Achievement,system_metric,"adjective,conjugation",https://www.1edtech.org/standards/open-badges,
ach_n5_045,te_form_survivor,conjugation,silver,45,て Form Survivor,て Form Survivor,Selesaikan semua lesson te-form.,Complete all te-form lessons.,trigger_te_form_survivor,te_form_lessons_completed,>=,5,lessons,global,once,1,,150,30,,badge_te_form_survivor,,common,false,true,true,Achievement,system_metric,"teform,grammar",https://www.1edtech.org/standards/open-badges,
ach_n5_046,kanji_10,kanji,bronze,46,10 Kanji Kebuka,10 Kanji Kebuka,Kuasai 10 kanji N5.,Know 10 N5 kanji.,trigger_kanji_10,kanji_known_count,>=,10,count,global,once,1,,80,15,,badge_kanji_10,,common,false,true,true,Achievement,system_metric,"kanji,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_047,kanji_25,kanji,silver,47,25 Kanji Kebuka,25 Kanji Kebuka,Kuasai 25 kanji N5.,Know 25 N5 kanji.,trigger_kanji_25,kanji_known_count,>=,25,count,global,once,1,,150,30,,badge_kanji_25,,uncommon,false,true,true,Achievement,system_metric,"kanji,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_048,kanji_50,kanji,gold,48,50 Kanji Kebuka,50 Kanji Kebuka,Kuasai 50 kanji N5.,Know 50 N5 kanji.,trigger_kanji_50,kanji_known_count,>=,50,count,global,once,1,,300,60,,badge_kanji_50,,rare,false,true,true,Achievement,system_metric,"kanji,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_049,kanji_80,kanji,platinum,49,80 Kanji Kebuka,80 Kanji Kebuka,Kuasai 80 kanji N5.,Know 80 N5 kanji.,trigger_kanji_80,kanji_known_count,>=,80,count,global,once,1,,600,120,,badge_kanji_80,,epic,false,true,true,Achievement,system_metric,"kanji,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_050,kanji_103,kanji,legendary,50,103 Kanji Kebuka,103 Kanji Kebuka,Kuasai 103 kanji N5.,Know 103 N5 kanji.,trigger_kanji_103,kanji_known_count,>=,103,count,global,once,1,,900,180,,badge_kanji_103,,legendary,false,true,true,Achievement,system_metric,"kanji,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_051,radical_25,radicals,silver,51,Radical Reader,Radical Reader,Kuasai 25 radical yang relevan N5.,Know 25 N5-relevant radicals.,trigger_radical_25,radicals_known_count,>=,25,count,global,once,1,,150,30,,badge_radical_25,,common,false,true,true,Achievement,system_metric,"radicals,kanji",https://www.1edtech.org/standards/open-badges,
ach_n5_052,stroke_order_50,kanji,gold,52,Stroke Order Santuy,Stroke Order Santuy,Selesaikan 50 latihan stroke order.,Complete 50 stroke-order drills.,trigger_stroke_order_50,stroke_order_drills_completed,>=,50,count,global,once,1,,250,50,,badge_stroke_order_50,,common,false,true,true,Achievement,system_metric,"kanji,stroke_order",https://www.1edtech.org/standards/open-badges,
ach_n5_053,numbers_100,numbers_counters,silver,53,Angka Nggak Bikin Pusing,Angka Nggak Bikin Pusing,Kuasai angka 0-100.,Know Japanese numbers 0-100.,trigger_numbers_100,numbers_0_100_completed,>=,100,numbers,global,once,1,,150,30,,badge_numbers_100,,common,false,true,true,Achievement,system_metric,numbers,https://www.1edtech.org/standards/open-badges,
ach_n5_054,calendar_master,numbers_counters,gold,54,Tanggal Anti Kepleset,Tanggal Anti Kepleset,Akurasi tanggal/bulan/jam 85%.,Reach 85% date/time reading accuracy.,trigger_calendar_master,calendar_time_accuracy,>=,85,percent,global,once,1,,250,50,,badge_calendar_master,,common,false,true,true,Achievement,system_metric,"calendar,time",https://www.1edtech.org/standards/open-badges,
ach_n5_055,counter_master,numbers_counters,platinum,55,Counter Bukan Musuh,Counter Bukan Musuh,Akurasi counter umum 85%.,Reach 85% common counter accuracy.,trigger_counter_master,counter_accuracy,>=,85,percent,global,once,1,,350,70,,badge_counter_master,,common,false,true,true,Achievement,system_metric,"counter,numbers",https://www.1edtech.org/standards/open-badges,
ach_n5_056,quiz_10,quiz,bronze,56,10 Quiz Kelar,10 Quiz Kelar,Selesaikan 10 quiz.,Complete 10 quizzes.,trigger_quiz_10,quizzes_completed,>=,10,count,global,once,1,,50,10,,badge_quiz_10,,common,false,true,true,Achievement,system_metric,quiz,https://www.1edtech.org/standards/open-badges,
ach_n5_057,quiz_50,quiz,silver,57,50 Quiz Kelar,50 Quiz Kelar,Selesaikan 50 quiz.,Complete 50 quizzes.,trigger_quiz_50,quizzes_completed,>=,50,count,global,once,1,,150,30,,badge_quiz_50,,common,false,true,true,Achievement,system_metric,quiz,https://www.1edtech.org/standards/open-badges,
ach_n5_058,quiz_100,quiz,gold,58,100 Quiz Kelar,100 Quiz Kelar,Selesaikan 100 quiz.,Complete 100 quizzes.,trigger_quiz_100,quizzes_completed,>=,100,count,global,once,1,,300,60,,badge_quiz_100,,common,false,true,true,Achievement,system_metric,quiz,https://www.1edtech.org/standards/open-badges,
ach_n5_059,quiz_500,quiz,platinum,59,500 Quiz Kelar,500 Quiz Kelar,Selesaikan 500 quiz.,Complete 500 quizzes.,trigger_quiz_500,quizzes_completed,>=,500,count,global,once,1,,800,160,,badge_quiz_500,,common,false,true,true,Achievement,system_metric,quiz,https://www.1edtech.org/standards/open-badges,
ach_n5_060,accuracy_70,quiz,bronze,60,Akurasi 70%,Akurasi 70%,Capai akurasi keseluruhan 70%.,Reach 70% overall quiz accuracy.,trigger_accuracy_70,overall_quiz_accuracy,>=,70,percent,global,once,1,,75,15,,badge_accuracy_70,,common,false,true,true,Achievement,system_metric,"quiz,accuracy",https://www.1edtech.org/standards/open-badges,
ach_n5_061,accuracy_80,quiz,silver,61,Akurasi 80%,Akurasi 80%,Capai akurasi keseluruhan 80%.,Reach 80% overall quiz accuracy.,trigger_accuracy_80,overall_quiz_accuracy,>=,80,percent,global,once,1,,150,30,,badge_accuracy_80,,common,false,true,true,Achievement,system_metric,"quiz,accuracy",https://www.1edtech.org/standards/open-badges,
ach_n5_062,accuracy_90,quiz,gold,62,Akurasi 90%,Akurasi 90%,Capai akurasi keseluruhan 90%.,Reach 90% overall quiz accuracy.,trigger_accuracy_90,overall_quiz_accuracy,>=,90,percent,global,once,1,,300,60,,badge_accuracy_90,,common,false,true,true,Achievement,system_metric,"quiz,accuracy",https://www.1edtech.org/standards/open-badges,
ach_n5_063,accuracy_95,quiz,platinum,63,Akurasi 95%,Akurasi 95%,Capai akurasi keseluruhan 95%.,Reach 95% overall quiz accuracy.,trigger_accuracy_95,overall_quiz_accuracy,>=,95,percent,global,once,1,,500,100,,badge_accuracy_95,,common,false,true,true,Achievement,system_metric,"quiz,accuracy",https://www.1edtech.org/standards/open-badges,
ach_n5_064,perfect_quiz,quiz,gold,64,"Perfect, Buset","Perfect, Buset",Dapat skor 100% dalam satu quiz minimal 10 soal.,Get 100% on a quiz with at least 10 items.,trigger_perfect_quiz,perfect_quiz_count,>=,1,count,global,once,1,,200,40,,badge_perfect_quiz,,common,false,true,true,Achievement,system_metric,"quiz,perfect",https://www.1edtech.org/standards/open-badges,
ach_n5_065,perfect_10,quiz,platinum,65,Perfect x10,Perfect x10,Dapat 10 perfect quiz.,Get 10 perfect quizzes.,trigger_perfect_10,perfect_quiz_count,>=,10,count,global,once,1,,500,100,,badge_perfect_10,,common,false,true,true,Achievement,system_metric,"quiz,perfect",https://www.1edtech.org/standards/open-badges,
ach_n5_066,srs_reviews_50,srs,bronze,66,50 Review SRS,50 Review SRS,Selesaikan 50 review flashcard.,Complete 50 SRS reviews.,trigger_srs_reviews_50,srs_reviews_completed,>=,50,count,global,once,1,,50,10,,badge_srs_reviews_50,,common,false,true,true,Achievement,system_metric,"srs,flashcard",https://www.1edtech.org/standards/open-badges,
ach_n5_067,srs_reviews_250,srs,silver,67,250 Review SRS,250 Review SRS,Selesaikan 250 review flashcard.,Complete 250 SRS reviews.,trigger_srs_reviews_250,srs_reviews_completed,>=,250,count,global,once,1,,150,30,,badge_srs_reviews_250,,common,false,true,true,Achievement,system_metric,"srs,flashcard",https://www.1edtech.org/standards/open-badges,
ach_n5_068,srs_reviews_1000,srs,gold,68,1000 Review SRS,1000 Review SRS,Selesaikan 1000 review flashcard.,Complete 1000 SRS reviews.,trigger_srs_reviews_1000,srs_reviews_completed,>=,1000,count,global,once,1,,400,80,,badge_srs_reviews_1000,,common,false,true,true,Achievement,system_metric,"srs,flashcard",https://www.1edtech.org/standards/open-badges,
ach_n5_069,srs_reviews_5000,srs,platinum,69,5000 Review SRS,5000 Review SRS,Selesaikan 5000 review flashcard.,Complete 5000 SRS reviews.,trigger_srs_reviews_5000,srs_reviews_completed,>=,5000,count,global,once,1,,1200,250,,badge_srs_reviews_5000,,common,false,true,true,Achievement,system_metric,"srs,flashcard",https://www.1edtech.org/standards/open-badges,
ach_n5_070,srs_reviews_10000,srs,legendary,70,10000 Review SRS,10000 Review SRS,Selesaikan 10000 review flashcard.,Complete 10000 SRS reviews.,trigger_srs_reviews_10000,srs_reviews_completed,>=,10000,count,global,once,1,,2500,500,,badge_srs_reviews_10000,,common,false,true,true,Achievement,system_metric,"srs,flashcard",https://www.1edtech.org/standards/open-badges,
ach_n5_071,srs_zero_due_7,srs,gold,71,"Inbox Zero, Nihon Edition","Inbox Zero, Nihon Edition",Kosongkan due card selama 7 hari berbeda.,Clear all due SRS cards on 7 different days.,trigger_srs_zero_due_7,srs_zero_due_days,>=,7,days,global,once,1,,250,50,,badge_srs_zero_due_7,,common,false,true,true,Achievement,system_metric,"srs,habit",https://www.1edtech.org/standards/open-badges,
ach_n5_072,leech_destroyer,srs,silver,72,Pembasmi Leech,Pembasmi Leech,Pulihkan 10 kartu leech menjadi review stabil.,Recover 10 leech cards into stable review.,trigger_leech_destroyer,leeches_recovered,>=,10,count,global,once,1,,150,30,,badge_leech_destroyer,,common,false,true,true,Achievement,system_metric,"srs,leech",https://www.1edtech.org/standards/open-badges,
ach_n5_073,reading_5,reading,bronze,73,5 Bacaan Kelar,5 Bacaan Kelar,Selesaikan 5 latihan reading.,Complete 5 reading tasks.,trigger_reading_5,reading_tasks_completed,>=,5,count,global,once,1,,60,10,,badge_reading_5,,common,false,true,true,Achievement,system_metric,reading,https://www.1edtech.org/standards/open-badges,
ach_n5_074,listening_5,listening,bronze,74,5 Listening Kelar,5 Listening Kelar,Selesaikan 5 latihan listening.,Complete 5 listening tasks.,trigger_listening_5,listening_tasks_completed,>=,5,count,global,once,1,,60,10,,badge_listening_5,,common,false,true,true,Achievement,system_metric,listening,https://www.1edtech.org/standards/open-badges,
ach_n5_075,reading_25,reading,silver,75,25 Bacaan Kelar,25 Bacaan Kelar,Selesaikan 25 latihan reading.,Complete 25 reading tasks.,trigger_reading_25,reading_tasks_completed,>=,25,count,global,once,1,,180,35,,badge_reading_25,,common,false,true,true,Achievement,system_metric,reading,https://www.1edtech.org/standards/open-badges,
ach_n5_076,listening_25,listening,silver,76,25 Listening Kelar,25 Listening Kelar,Selesaikan 25 latihan listening.,Complete 25 listening tasks.,trigger_listening_25,listening_tasks_completed,>=,25,count,global,once,1,,180,35,,badge_listening_25,,common,false,true,true,Achievement,system_metric,listening,https://www.1edtech.org/standards/open-badges,
ach_n5_077,reading_100,reading,gold,77,100 Bacaan Kelar,100 Bacaan Kelar,Selesaikan 100 latihan reading.,Complete 100 reading tasks.,trigger_reading_100,reading_tasks_completed,>=,100,count,global,once,1,,500,100,,badge_reading_100,,common,false,true,true,Achievement,system_metric,reading,https://www.1edtech.org/standards/open-badges,
