id,jlpt_level,set_type,display_order,kanji,unicode_codepoint,unicode_name,stroke_count,onyomi_romaji,onyomi_katakana,kunyomi_romaji,kunyomi_hiragana,meaning_en,meaning_id,example_word,example_reading,example_romaji,example_meaning_id,example_sentence_jp,example_sentence_id,mnemonic_id,radical_kanji,audio_path,stroke_order_path,source_url,secondary_source_url,notes
kanji_n5_018,N5,core_80_common_n5,18,分,U+5206,CJK UNIFIED IDEOGRAPH-5206,4,"bun, fun, bu","ブン, フン, ブ","wa(keru), wa(karu)","わ(ける), わ(かる)","part, minute, understand",bagian; menit; mengerti,五分,ごふん,gofun,lima menit,五分待ってください。,Tolong tunggu lima menit.,Pisau membagi sesuatu jadi bagian-bagian.,刀,/assets/audio/kanji/n5/018_分.mp3,/assets/stroke-order/kanji/5206.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_019,N5,core_80_common_n5,19,後,U+5F8C,CJK UNIFIED IDEOGRAPH-5F8C,9,"go, kou","ゴ, コウ","nochi, ushi(ro), ato","のち, うし(ろ), あと","behind, back, later",belakang; setelah; nanti,後で,あとで,atode,nanti,後で話します。,Saya akan bicara nanti.,Jejak langkah yang tertinggal di belakang.,彳,/assets/audio/kanji/n5/019_後.mp3,/assets/stroke-order/kanji/5f8c.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_020,N5,core_80_common_n5,20,前,U+524D,CJK UNIFIED IDEOGRAPH-524D,9,zen,ゼン,mae,まえ,"in front, before",depan; sebelum,前,まえ,mae,depan,駅の前で会います。,Mari bertemu di depan stasiun.,Bagian yang ada di depan sebelum dipotong.,刀,/assets/audio/kanji/n5/020_前.mp3,/assets/stroke-order/kanji/524d.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_021,N5,core_80_common_n5,21,生,U+751F,CJK UNIFIED IDEOGRAPH-751F,5,"sei, shou","セイ, ショウ","i(kiru), u(mu), ha(eru), nama","い(きる), う(む), は(える), なま","life, birth, genuine, raw",hidup; lahir; mentah,学生,がくせい,gakusei,pelajar/mahasiswa,私は学生です。,Saya adalah pelajar/mahasiswa.,Tunas keluar dari tanah: hidup/lahir.,生,/assets/audio/kanji/n5/021_生.mp3,/assets/stroke-order/kanji/751f.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_022,N5,core_80_common_n5,22,五,U+4E94,CJK UNIFIED IDEOGRAPH-4E94,4,go,ゴ,"itsu(tsu), itsu-","いつ(つ), いつ-",five,lima,五つ,いつつ,itsutsu,lima buah,みかんが五つあります。,Ada lima jeruk.,Lima digambar sebagai garis yang saling mengikat.,二,/assets/audio/kanji/n5/022_五.mp3,/assets/stroke-order/kanji/4e94.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_023,N5,core_80_common_n5,23,間,U+9593,CJK UNIFIED IDEOGRAPH-9593,12,"kan, ken","カン, ケン","aida, ma, ai","あいだ, ま, あい","interval, space, between",jarak; ruang; antara,時間,じかん,jikan,waktu,日本語を勉強する時間です。,Ini waktu untuk belajar bahasa Jepang.,Matahari terlihat di antara pintu: ruang/interval.,門,/assets/audio/kanji/n5/023_間.mp3,/assets/stroke-order/kanji/9593.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_024,N5,core_80_common_n5,24,上,U+4E0A,CJK UNIFIED IDEOGRAPH-4E0A,3,"jou, shou","ジョウ, ショウ","ue, uwa-, kami, a(geru), nobo(ru)","うえ, うわ-, かみ, あ(げる), のぼ(る)","above, up",atas; naik,上,うえ,ue,atas,本は机の上にあります。,Buku ada di atas meja.,Tanda kecil berada di atas garis dasar.,一,/assets/audio/kanji/n5/024_上.mp3,/assets/stroke-order/kanji/4e0a.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_025,N5,core_80_common_n5,25,東,U+6771,CJK UNIFIED IDEOGRAPH-6771,8,tou,トウ,higashi,ひがし,east,timur,東京,とうきょう,toukyou,Tokyo,東京に住んでいます。,Saya tinggal di Tokyo.,Matahari muncul dari balik pohon di timur.,木,/assets/audio/kanji/n5/025_東.mp3,/assets/stroke-order/kanji/6771.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_026,N5,core_80_common_n5,26,四,U+56DB,CJK UNIFIED IDEOGRAPH-56DB,5,shi,シ,"yo(tsu), yon","よ(つ), よん",four,empat,四つ,よっつ,yottsu,empat buah,椅子が四つあります。,Ada empat kursi.,Empat sisi kotak; gampang dicicil ingatnya.,囗,/assets/audio/kanji/n5/026_四.mp3,/assets/stroke-order/kanji/56db.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_027,N5,core_80_common_n5,27,今,U+4ECA,CJK UNIFIED IDEOGRAPH-4ECA,4,"kon, kin","コン, キン",ima,いま,"now, present",sekarang,今,いま,ima,sekarang,今、勉強しています。,Sekarang saya sedang belajar.,Atap menutup momen ini: sekarang.,人,/assets/audio/kanji/n5/027_今.mp3,/assets/stroke-order/kanji/4eca.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_028,N5,core_80_common_n5,28,金,U+91D1,CJK UNIFIED IDEOGRAPH-91D1,8,"kin, kon, gon","キン, コン, ゴン","kane, kana-, -gane","かね, かな-, -がね","gold, metal, money",emas; logam; uang,お金,おかね,okane,uang,お金がありません。,Saya tidak punya uang.,Logam/emas yang berkilau di bawah tanah.,金,/assets/audio/kanji/n5/028_金.mp3,/assets/stroke-order/kanji/91d1.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_029,N5,core_80_common_n5,29,九,U+4E5D,CJK UNIFIED IDEOGRAPH-4E5D,2,"kyuu, ku","キュウ, ク","kokono(tsu), kokono-","ここの(つ), ここの-",nine,sembilan,九つ,ここのつ,kokonotsu,sembilan buah,九つ買いました。,Saya membeli sembilan buah.,"Garis berkait, hampir menutup hitungan sebelum sepuluh.",乙,/assets/audio/kanji/n5/029_九.mp3,/assets/stroke-order/kanji/4e5d.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_030,N5,core_80_common_n5,30,入,U+5165,CJK UNIFIED IDEOGRAPH-5165,2,nyuu,ニュウ,"i(ru), hai(ru), i(reru)","い(る), はい(る), い(れる)","enter, insert",masuk; memasukkan,入る,はいる,hairu,masuk,部屋に入ります。,Saya masuk ke kamar.,Satu garis menyelinap masuk ke garis lain.,入,/assets/audio/kanji/n5/030_入.mp3,/assets/stroke-order/kanji/5165.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_031,N5,core_80_common_n5,31,学,U+5B66,CJK UNIFIED IDEOGRAPH-5B66,8,gaku,ガク,mana(bu),まな(ぶ),"study, learning, science",belajar; ilmu,学校,がっこう,gakkou,sekolah,学校で日本語を勉強します。,Saya belajar bahasa Jepang di sekolah.,Anak di bawah atap: tempat belajar.,子,/assets/audio/kanji/n5/031_学.mp3,/assets/stroke-order/kanji/5b66.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_032,N5,core_80_common_n5,32,高,U+9AD8,CJK UNIFIED IDEOGRAPH-9AD8,10,kou,コウ,taka(i),たか(い),"tall, high, expensive",tinggi; mahal,高い,たかい,takai,tinggi/mahal,この山は高いです。,Gunung ini tinggi.,Seperti menara tinggi bertingkat.,高,/assets/audio/kanji/n5/032_高.mp3,/assets/stroke-order/kanji/9ad8.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_033,N5,core_80_common_n5,33,円,U+5186,CJK UNIFIED IDEOGRAPH-5186,4,en,エン,maru(i),まる(い),"circle, yen, round",lingkaran; yen; bulat,円,えん,en,yen,これは百円です。,Ini seratus yen.,Bentuk tertutup seperti lingkaran/koin yen.,冂,/assets/audio/kanji/n5/033_円.mp3,/assets/stroke-order/kanji/5186.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_034,N5,core_80_common_n5,34,子,U+5B50,CJK UNIFIED IDEOGRAPH-5B50,3,"shi, su, tsu","シ, ス, ツ","ko, ne","こ, ね",child,anak,子ども,こども,kodomo,anak,子どもが遊んでいます。,Anak sedang bermain.,Bentuk anak kecil dengan tangan terbuka.,子,/assets/audio/kanji/n5/034_子.mp3,/assets/stroke-order/kanji/5b50.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_035,N5,core_80_common_n5,35,外,U+5916,CJK UNIFIED IDEOGRAPH-5916,5,"gai, ge","ガイ, ゲ","soto, hoka, hazu(su), to-","そと, ほか, はず(す), と-","outside, other",luar; selain,外,そと,soto,luar,外は寒いです。,Di luar dingin.,Malam/sisi luar rumah: di luar.,夕,/assets/audio/kanji/n5/035_外.mp3,/assets/stroke-order/kanji/5916.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_036,N5,core_80_common_n5,36,八,U+516B,CJK UNIFIED IDEOGRAPH-516B,2,hachi,ハチ,"ya(tsu), you","や(つ), よう",eight,delapan,八つ,やっつ,yattsu,delapan buah,八つあります。,Ada delapan buah.,Dua garis terbuka seperti sesuatu terbelah jadi delapan.,八,/assets/audio/kanji/n5/036_八.mp3,/assets/stroke-order/kanji/516b.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_037,N5,core_80_common_n5,37,六,U+516D,CJK UNIFIED IDEOGRAPH-516D,4,roku,ロク,"mu(tsu), mui","む(つ), むい",six,enam,六つ,むっつ,muttsu,enam buah,六つください。,Tolong beri enam buah.,Atap dengan dua kaki; ingat sebagai simbol enam.,八,/assets/audio/kanji/n5/037_六.mp3,/assets/stroke-order/kanji/516d.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_038,N5,core_80_common_n5,38,下,U+4E0B,CJK UNIFIED IDEOGRAPH-4E0B,3,"ka, ge","カ, ゲ","shita, shimo, moto, sa(geru), kuda(ru), o(rosu)","した, しも, もと, さ(げる), くだ(る), お(ろす)","below, down, low",bawah; turun; rendah,下,した,shita,bawah,猫は机の下にいます。,Kucing ada di bawah meja.,Tanda kecil berada di bawah garis dasar.,一,/assets/audio/kanji/n5/038_下.mp3,/assets/stroke-order/kanji/4e0b.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_039,N5,core_80_common_n5,39,来,U+6765,CJK UNIFIED IDEOGRAPH-6765,7,"rai, tai","ライ, タイ","kuru, kitaru, ki, ko","く(る), きた(る), き, こ","come, next",datang; berikutnya,来る,くる,kuru,datang,友だちが来ます。,Teman saya datang.,Sesuatu mendekat seperti tanaman/pohon datang ke arahmu.,木,/assets/audio/kanji/n5/039_来.mp3,/assets/stroke-order/kanji/6765.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_040,N5,core_80_common_n5,40,気,U+6C17,CJK UNIFIED IDEOGRAPH-6C17,6,"ki, ke","キ, ケ",iki,いき,"spirit, mind, air, mood",semangat; udara; suasana,天気,てんき,tenki,cuaca,今日は天気がいいです。,Cuaca hari ini bagus.,"Udara/energi yang mengalir, vibe-nya kerasa.",气,/assets/audio/kanji/n5/040_気.mp3,/assets/stroke-order/kanji/6c17.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_041,N5,core_80_common_n5,41,小,U+5C0F,CJK UNIFIED IDEOGRAPH-5C0F,3,shou,ショウ,"chii(sai), ko-, o-, sa-","ちい(さい), こ-, お-, さ-","small, little",kecil,小さい,ちいさい,chiisai,kecil,小さい犬です。,Ini anjing kecil.,Garis utama dengan titik kecil di sampingnya.,小,/assets/audio/kanji/n5/041_小.mp3,/assets/stroke-order/kanji/5c0f.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_042,N5,core_80_common_n5,42,七,U+4E03,CJK UNIFIED IDEOGRAPH-4E03,2,shichi,シチ,"nana(tsu), nano","なな(つ), なの",seven,tujuh,七つ,ななつ,nanatsu,tujuh buah,七つあります。,Ada tujuh buah.,Garis dengan kait; angka tujuh yang nyasar jadi kanji.,一,/assets/audio/kanji/n5/042_七.mp3,/assets/stroke-order/kanji/4e03.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
