id,jlpt_level,set_type,display_order,sentence_jp,sentence_kana,sentence_romaji,meaning_id,meaning_en,difficulty_level,sentence_type,target_vocab_ids,target_vocab_terms,target_grammar_ids,target_grammar_points,target_kanji_ids,target_kanji_chars,tags,recommended_for_flashcard,recommended_for_quiz,audio_path,illustration_path,source_basis,source_url,review_status,notes
ex_n5_0020,N5,grammar_seed_example,20,私は先生じゃないです。,,Watashi wa sensei janai desu.,Saya bukan guru.,,1,grammar,,,grm_n5_020,じゃない・ではない,kanji_n5_050|kanji_n5_021,先生,"grammar,copula_negative,basic_sentence",true,true,/assets/audio/examples/n5/0020.mp3,/assets/illustrations/examples/n5/0020.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0021,N5,grammar_seed_example,21,学生ですか。,,Gakusei desu ka.,Apakah kamu pelajar?,,1,grammar,,,grm_n5_021,か,kanji_n5_031|kanji_n5_021,学生,"grammar,particle,questions",true,true,/assets/audio/examples/n5/0021.mp3,/assets/illustrations/examples/n5/0021.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0022,N5,grammar_seed_example,22,コーヒーかお茶を飲みます。,,Koohii ka ocha o nomimasu.,Saya minum kopi atau teh.,,1,grammar,,,grm_n5_022,か～か,kanji_n5_082,飲,"grammar,connector,choices",true,true,/assets/audio/examples/n5/0022.mp3,/assets/illustrations/examples/n5/0022.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0023,N5,grammar_seed_example,23,暑いから窓を開けます。,,Atsui kara mado o akemasu.,"Karena panas, saya membuka jendela.",,1,grammar,,,grm_n5_023,から,,,"grammar,particle_connector,reason_time_place",true,true,/assets/audio/examples/n5/0023.mp3,/assets/illustrations/examples/n5/0023.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0024,N5,grammar_seed_example,24,漢字の書き方を教えてください。,,Kanji no kakikata o oshiete kudasai.,Tolong ajari cara menulis kanji.,,1,grammar,,,grm_n5_024,方,kanji_n5_049,書,"grammar,nominalization,how_to",true,true,/assets/audio/examples/n5/0024.mp3,/assets/illustrations/examples/n5/0024.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0025,N5,grammar_seed_example,25,雨ですけど行きます。,,Ame desu kedo ikimasu.,"Hujan, tapi saya pergi.",,1,grammar,,,grm_n5_025,けど,kanji_n5_080|kanji_n5_015,雨行,"grammar,connector,connectors",true,true,/assets/audio/examples/n5/0025.mp3,/assets/illustrations/examples/n5/0025.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0026,N5,grammar_seed_example,26,難しいけれども楽しいです。,,Muzukashii keredomo tanoshii desu.,"Sulit, tetapi menyenangkan.",,2,grammar,,,grm_n5_026,けれども,,,"grammar,connector,connectors",true,true,/assets/audio/examples/n5/0026.mp3,/assets/illustrations/examples/n5/0026.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0027,N5,grammar_seed_example,27,まだ宿題があります。,,Mada shukudai ga arimasu.,Masih ada PR.,,2,grammar,,,grm_n5_027,まだ,,,"grammar,adverb,time",true,true,/assets/audio/examples/n5/0027.mp3,/assets/illustrations/examples/n5/0027.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0028,N5,grammar_seed_example,28,まだ昼ご飯を食べていません。,,Mada hirugohan o tabete imasen.,Saya belum makan siang.,,2,grammar,,,grm_n5_028,まだ～ていません,kanji_n5_064,食,"grammar,time_aspect,te_form",true,true,/assets/audio/examples/n5/0028.mp3,/assets/illustrations/examples/n5/0028.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0029,N5,grammar_seed_example,29,五時まで勉強します。,,Go-ji made benkyou shimasu.,Saya belajar sampai jam lima.,,2,grammar,,,grm_n5_029,まで,kanji_n5_022|kanji_n5_014,五時,"grammar,particle,time_place",true,true,/assets/audio/examples/n5/0029.mp3,/assets/illustrations/examples/n5/0029.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0030,N5,grammar_seed_example,30,食べる前に手を洗います。,,Taberu mae ni te o araimasu.,Saya mencuci tangan sebelum makan.,,2,grammar,,,grm_n5_030,前に,kanji_n5_064|kanji_n5_020|kanji_n5_093,食前手,"grammar,time_place,sequence",true,true,/assets/audio/examples/n5/0030.mp3,/assets/illustrations/examples/n5/0030.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0031,N5,grammar_seed_example,31,映画を見ませんか。,,Eiga o mimasen ka.,Maukah menonton film?,,2,grammar,,,grm_n5_031,ませんか,kanji_n5_016,見,"grammar,invitation,requests",true,true,/assets/audio/examples/n5/0031.mp3,/assets/illustrations/examples/n5/0031.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0032,N5,grammar_seed_example,32,行きましょう。,,Ikimashou.,Ayo pergi.,,2,grammar,,,grm_n5_032,ましょう,kanji_n5_015,行,"grammar,invitation,requests",true,true,/assets/audio/examples/n5/0032.mp3,/assets/illustrations/examples/n5/0032.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0033,N5,grammar_seed_example,33,窓を開けましょうか。,,Mado o akemashou ka.,Boleh saya buka jendela?,,2,grammar,,,grm_n5_033,ましょうか,,,"grammar,offer,requests",true,true,/assets/audio/examples/n5/0033.mp3,/assets/illustrations/examples/n5/0033.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0034,N5,grammar_seed_example,34,私も行きます。,,Watashi mo ikimasu.,Saya juga pergi.,,2,grammar,,,grm_n5_034,も,kanji_n5_015,行,"grammar,particle,particles",true,true,/assets/audio/examples/n5/0034.mp3,/assets/illustrations/examples/n5/0034.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0035,N5,grammar_seed_example,35,もうご飯を食べました。,,Mou gohan o tabemashita.,Saya sudah makan.,,2,grammar,,,grm_n5_035,もう,kanji_n5_064,食,"grammar,adverb,time",true,true,/assets/audio/examples/n5/0035.mp3,/assets/illustrations/examples/n5/0035.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0036,N5,grammar_seed_example,36,静かな部屋です。,,Shizuka na heya desu.,Ini kamar yang tenang.,,2,grammar,,,grm_n5_036,な-adjectives,,,"grammar,adjective,adjectives",true,true,/assets/audio/examples/n5/0036.mp3,/assets/illustrations/examples/n5/0036.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0037,N5,grammar_seed_example,37,きれいだなあ。,,Kirei da naa.,"Wah, cantik ya.",,2,grammar,,,grm_n5_037,なあ,,,"grammar,sentence_ending,sentence_ending",true,true,/assets/audio/examples/n5/0037.mp3,/assets/illustrations/examples/n5/0037.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0038,N5,grammar_seed_example,38,傘を持たないで出ました。,,Kasa o motanaide demashita.,Saya keluar tanpa membawa payung.,,2,grammar,,,grm_n5_038,ないで,kanji_n5_012,出,"grammar,negative_te,sequence",true,true,/assets/audio/examples/n5/0038.mp3,/assets/illustrations/examples/n5/0038.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0039,N5,grammar_seed_example,39,ここで写真を撮らないでください。,,Koko de shashin o toranaide kudasai.,Tolong jangan mengambil foto di sini.,,2,grammar,,,grm_n5_039,ないでください,,,"grammar,request_negative,requests_rules",true,true,/assets/audio/examples/n5/0039.mp3,/assets/illustrations/examples/n5/0039.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0040,N5,grammar_seed_example,40,勉強しないといけません。,,Benkyou shinai to ikemasen.,Saya harus belajar.,,2,grammar,,,grm_n5_040,ないといけない,,,"grammar,obligation,obligation",true,true,/assets/audio/examples/n5/0040.mp3,/assets/illustrations/examples/n5/0040.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0041,N5,grammar_seed_example,41,明日来なくてもいいです。,,Ashita konakute mo ii desu.,Besok tidak perlu datang.,,2,grammar,,,grm_n5_041,なくてもいい,kanji_n5_001|kanji_n5_039,日来,"grammar,permission,obligation",true,true,/assets/audio/examples/n5/0041.mp3,/assets/illustrations/examples/n5/0041.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0042,N5,grammar_seed_example,42,宿題をしなくちゃ。,,Shukudai o shinakucha.,Aku harus mengerjakan PR.,,2,grammar,,,grm_n5_042,なくちゃ,,,"grammar,obligation,obligation",true,true,/assets/audio/examples/n5/0042.mp3,/assets/illustrations/examples/n5/0042.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0043,N5,grammar_seed_example,43,パスポートを持たなくてはいけません。,,Pasupooto o motanakute wa ikemasen.,Harus membawa paspor.,,2,grammar,,,grm_n5_043,なくてはいけない,,,"grammar,obligation,obligation",true,true,/assets/audio/examples/n5/0043.mp3,/assets/illustrations/examples/n5/0043.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0044,N5,grammar_seed_example,44,毎日勉強しなくてはなりません。,,Mainichi benkyou shinakute wa narimasen.,Harus belajar setiap hari.,,2,grammar,,,grm_n5_044,なくてはならない,kanji_n5_069|kanji_n5_001,毎日,"grammar,obligation,obligation",true,true,/assets/audio/examples/n5/0044.mp3,/assets/illustrations/examples/n5/0044.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0045,N5,grammar_seed_example,45,医者になります。,,Isha ni narimasu.,Saya akan menjadi dokter.,,2,grammar,,,grm_n5_045,なる,,,"grammar,change,change",true,true,/assets/audio/examples/n5/0045.mp3,/assets/illustrations/examples/n5/0045.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0046,N5,grammar_seed_example,46,どうして遅れたんですか。,,Doushite okureta n desu ka.,Kenapa terlambat?,,2,grammar,,,grm_n5_046,んです,,,"grammar,explanation,sentence_ending",true,true,/assets/audio/examples/n5/0046.mp3,/assets/illustrations/examples/n5/0046.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0047,N5,grammar_seed_example,47,いい天気ですね。,,Ii tenki desu ne.,Cuacanya bagus ya.,,2,grammar,,,grm_n5_047,ね,kanji_n5_071|kanji_n5_040,天気,"grammar,sentence_ending,sentence_ending",true,true,/assets/audio/examples/n5/0047.mp3,/assets/illustrations/examples/n5/0047.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0048,N5,grammar_seed_example,48,七時に起きます。,,Shichi-ji ni okimasu.,Saya bangun jam tujuh.,,2,grammar,,,grm_n5_048,に,kanji_n5_042|kanji_n5_014,七時,"grammar,particle,particles",true,true,/assets/audio/examples/n5/0048.mp3,/assets/illustrations/examples/n5/0048.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0049,N5,grammar_seed_example,49,本を買いに行きます。,,Hon o kai ni ikimasu.,Saya pergi membeli buku.,,2,grammar,,,grm_n5_049,に行く,kanji_n5_009|kanji_n5_101|kanji_n5_015,本買行,"grammar,purpose,movement",true,true,/assets/audio/examples/n5/0049.mp3,/assets/illustrations/examples/n5/0049.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0050,N5,grammar_seed_example,50,コーヒーにします。,,Koohii ni shimasu.,Saya pilih kopi.,,2,grammar,,,grm_n5_050,にする,,,"grammar,choice,change_choice",true,true,/assets/audio/examples/n5/0050.mp3,/assets/illustrations/examples/n5/0050.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0051,N5,grammar_seed_example,51,学校に行きます。,,Gakkou ni ikimasu.,Saya pergi ke sekolah.,,3,grammar,,,grm_n5_051,に/へ,kanji_n5_031|kanji_n5_059|kanji_n5_015,学校行,"grammar,particle,movement",true,true,/assets/audio/examples/n5/0051.mp3,/assets/illustrations/examples/n5/0051.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0052,N5,grammar_seed_example,52,これは私の本です。,,Kore wa watashi no hon desu.,Ini buku saya.,,3,grammar,,,grm_n5_052,の,kanji_n5_009,本,"grammar,particle,particles",true,true,/assets/audio/examples/n5/0052.mp3,/assets/illustrations/examples/n5/0052.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0053,N5,grammar_seed_example,53,今日は休みなのです。,,Kyou wa yasumi na no desu.,"Hari ini libur, itulah alasannya.",,3,grammar,,,grm_n5_053,のです,kanji_n5_027|kanji_n5_001|kanji_n5_078,今日休,"grammar,explanation,sentence_ending",true,true,/assets/audio/examples/n5/0053.mp3,/assets/illustrations/examples/n5/0053.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0054,N5,grammar_seed_example,54,泳ぐのが下手です。,,Oyogu no ga heta desu.,Saya tidak pandai berenang.,,3,grammar,,,grm_n5_054,のが下手,kanji_n5_038|kanji_n5_093,下手,"grammar,ability,nominalization",true,true,/assets/audio/examples/n5/0054.mp3,/assets/illustrations/examples/n5/0054.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0055,N5,grammar_seed_example,55,料理するのが上手です。,,Ryouri suru no ga jouzu desu.,Dia pandai memasak.,,3,grammar,,,grm_n5_055,のが上手,kanji_n5_024|kanji_n5_093,上手,"grammar,ability,nominalization",true,true,/assets/audio/examples/n5/0055.mp3,/assets/illustrations/examples/n5/0055.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0056,N5,grammar_seed_example,56,本を読むのが好きです。,,Hon o yomu no ga suki desu.,Saya suka membaca buku.,,3,grammar,,,grm_n5_056,のが好き,kanji_n5_009|kanji_n5_075,本読,"grammar,preference,nominalization",true,true,/assets/audio/examples/n5/0056.mp3,/assets/illustrations/examples/n5/0056.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0057,N5,grammar_seed_example,57,果物の中でりんごが一番好きです。,,Kudamono no naka de ringo ga ichiban suki desu.,"Di antara buah, saya paling suka apel.",,3,grammar,,,grm_n5_057,の中でAが一番,kanji_n5_010|kanji_n5_002,中一,"grammar,superlative,comparisons",true,true,/assets/audio/examples/n5/0057.mp3,/assets/illustrations/examples/n5/0057.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0058,N5,grammar_seed_example,58,雨なので行きません。,,Ame na node ikimasen.,"Karena hujan, saya tidak pergi.",,3,grammar,,,grm_n5_058,ので,kanji_n5_080|kanji_n5_015,雨行,"grammar,connector,reason",true,true,/assets/audio/examples/n5/0058.mp3,/assets/illustrations/examples/n5/0058.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
