id,passage_id,map_type,dataset_ref,source_entity_type,source_entity_ids,source_terms,coverage_note,review_status
read_map_n5_0019,read_n5_0007,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0706|vocab_n5_0183|vocab_n5_0638|vocab_n5_0251,レストラン|メニュー|カレー|七百円|ラーメン|六百円|水|無料|コーヒー|三百円,Matched by expression/reading when available.,auto_matched
read_map_n5_0020,read_n5_0007,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_079|grm_n5_002,の|は|です,Matched by grammar_point where available.,auto_matched
read_map_n5_0021,read_n5_0007,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_042|kanji_n5_048|kanji_n5_033|kanji_n5_037|kanji_n5_054|kanji_n5_013,七百円六水三,Matched by kanji characters in passage.,auto_matched
read_map_n5_0022,read_n5_0008,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0016|vocab_n5_0092|vocab_n5_0621|vocab_n5_0002|vocab_n5_0294|vocab_n5_0714|vocab_n5_0004|vocab_n5_0172|vocab_n5_0661,明日|駅|前|会う|時間|九時半|私|青い|かばん|持つ,Matched by expression/reading when available.,auto_matched
read_map_n5_0023,read_n5_0008,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_051|grm_n5_052|grm_n5_005|grm_n5_032|grm_n5_079|grm_n5_060,へ|の|で|ましょう|は|を|ています,Matched by grammar_point where available.,auto_matched
read_map_n5_0024,read_n5_0008,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_001|kanji_n5_083|kanji_n5_020|kanji_n5_085|kanji_n5_014|kanji_n5_023|kanji_n5_029|kanji_n5_055,日駅前会時間九半,Matched by kanji characters in passage.,auto_matched
read_map_n5_0025,read_n5_0009,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0460|vocab_n5_0239|vocab_n5_0215|vocab_n5_0256|vocab_n5_0253|vocab_n5_0009|vocab_n5_0470|vocab_n5_0501|vocab_n5_0671,図書館|お知らせ|月曜日|金曜日|午前|九時|午後|六時|開く|土曜日|三時|日曜日|休み,Matched by expression/reading when available.,auto_matched
read_map_n5_0026,read_n5_0009,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_023|grm_n5_029|grm_n5_079,から|まで|ています|は,Matched by grammar_point where available.,auto_matched
read_map_n5_0027,read_n5_0009,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_049|kanji_n5_017|kanji_n5_001|kanji_n5_028|kanji_n5_047|kanji_n5_020|kanji_n5_029|kanji_n5_014|kanji_n5_019|kanji_n5_037|kanji_n5_061|kanji_n5_013|kanji_n5_078,書月日金午前九時後六土三休,Matched by kanji characters in passage.,auto_matched
read_map_n5_0028,read_n5_0010,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0204|vocab_n5_0027|vocab_n5_0090,今日|時間割|一時間目|日本語|二時間目|数学|昼休み|後|英語|体育,Matched by expression/reading when available.,auto_matched
read_map_n5_0029,read_n5_0010,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_079|grm_n5_002|grm_n5_087|grm_n5_012|grm_n5_105,の|は|です|後で|あります|ありません,Matched by grammar_point where available.,auto_matched
read_map_n5_0030,read_n5_0010,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_027|kanji_n5_001|kanji_n5_014|kanji_n5_023|kanji_n5_002|kanji_n5_102|kanji_n5_009|kanji_n5_060|kanji_n5_008|kanji_n5_031|kanji_n5_078|kanji_n5_019,今日時間一目本語二学休後,Matched by kanji characters in passage.,auto_matched
read_map_n5_0031,read_n5_0011,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0204|vocab_n5_0012|vocab_n5_0037|vocab_n5_0714|vocab_n5_0245|vocab_n5_0049|vocab_n5_0047|vocab_n5_0610|vocab_n5_0690|vocab_n5_0139|vocab_n5_0193|vocab_n5_0253,今日|朝|雨|私|公園|行く|家|本|読む|音楽|聞く|午後|止む,Matched by expression/reading when available.,auto_matched
read_map_n5_0032,read_n5_0011,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_023|grm_n5_067|grm_n5_011|grm_n5_093|grm_n5_005|grm_n5_009|grm_n5_092,から|たい|が|ませんでした|で|て|ました,Matched by grammar_point where available.,auto_matched
read_map_n5_0033,read_n5_0011,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_027|kanji_n5_001|kanji_n5_080|kanji_n5_015|kanji_n5_009|kanji_n5_075|kanji_n5_063|kanji_n5_047|kanji_n5_019,今日雨行本読聞午後,Matched by kanji characters in passage.,auto_matched
read_map_n5_0034,read_n5_0012,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0200|vocab_n5_0020|vocab_n5_0056|vocab_n5_0168|vocab_n5_0672|vocab_n5_0570|vocab_n5_0049|vocab_n5_0053|vocab_n5_0217|vocab_n5_0515|vocab_n5_0543|vocab_n5_0510|vocab_n5_0046,昨日|頭|痛い|学校|休む|病院|行く|医者|薬|飲む|早い|寝る|言う,Matched by expression/reading when available.,auto_matched
read_map_n5_0035,read_n5_0012,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_011|grm_n5_060|grm_n5_009|grm_n5_051|grm_n5_072,が|かったです|を|て|へ|てください|と言いました,Matched by grammar_point where available.,auto_matched
read_map_n5_0036,read_n5_0012,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_001|kanji_n5_031|kanji_n5_059|kanji_n5_078|kanji_n5_015|kanji_n5_082|kanji_n5_088,日学校休行飲言,Matched by kanji characters in passage.,auto_matched
read_map_n5_0037,read_n5_0013,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0092|vocab_n5_0436|vocab_n5_0629|vocab_n5_0049|vocab_n5_0171|vocab_n5_0636|vocab_n5_0678|vocab_n5_0214|vocab_n5_0465|vocab_n5_0042,駅|出る|まっすぐ|行く|二つ目|角|右|曲がる|郵便局|銀行|隣|歩く|五分|ぐらい,Matched by expression/reading when available.,auto_matched
read_map_n5_0038,read_n5_0013,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_072|grm_n5_052|grm_n5_060|grm_n5_048|grm_n5_079|grm_n5_002|grm_n5_085,てください|の|を|に|は|です|ぐらい,Matched by grammar_point where available.,auto_matched
read_map_n5_0039,read_n5_0013,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_083|kanji_n5_012|kanji_n5_015|kanji_n5_008|kanji_n5_102|kanji_n5_074|kanji_n5_022|kanji_n5_018,駅出行二目右五分,Matched by kanji characters in passage.,auto_matched
read_map_n5_0040,read_n5_0014,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0470|vocab_n5_0714|vocab_n5_0047|vocab_n5_0397|vocab_n5_0518|vocab_n5_0294|vocab_n5_0253|vocab_n5_0230,土曜日|私|家|誕生日|パーティー|時間|午後|二時|四時|ケーキ|ジュース|来る,Matched by expression/reading when available.,auto_matched
read_map_n5_0041,read_n5_0014,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_048|grm_n5_052|grm_n5_005|grm_n5_023|grm_n5_029|grm_n5_012|grm_n5_072,に|の|で|をします|から|まで|があります|てください,Matched by grammar_point where available.,auto_matched
read_map_n5_0042,read_n5_0014,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_061|kanji_n5_001|kanji_n5_021|kanji_n5_014|kanji_n5_023|kanji_n5_047|kanji_n5_019|kanji_n5_008|kanji_n5_026|kanji_n5_039,土日生時間午後二四来,Matched by kanji characters in passage.,auto_matched
read_map_n5_0043,read_n5_0015,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0714|vocab_n5_0501|vocab_n5_0296|vocab_n5_0012|vocab_n5_0253|vocab_n5_0055|vocab_n5_0388|vocab_n5_0104,私|日曜日|だけ|カフェ|アルバイト|仕事|朝|九時|午後|一時|忙しい|楽しい|お金|ためる,Matched by expression/reading when available.,auto_matched
read_map_n5_0044,read_n5_0015,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_003|grm_n5_005|grm_n5_023|grm_n5_029|grm_n5_067,だけ|で|ています|から|まで|ですが|たい,Matched by grammar_point where available.,auto_matched
read_map_n5_0045,read_n5_0015,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_001|kanji_n5_029|kanji_n5_014|kanji_n5_047|kanji_n5_019|kanji_n5_002|kanji_n5_028,日九時午後一金,Matched by kanji characters in passage.,auto_matched
read_map_n5_0046,read_n5_0016,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0271|vocab_n5_0470|vocab_n5_0469|vocab_n5_0088|vocab_n5_0648|vocab_n5_0049|vocab_n5_0253|vocab_n5_0528|vocab_n5_0365|vocab_n5_0621|vocab_n5_0092|vocab_n5_0403|vocab_n5_0393,今週|土曜日|友達|映画|見る|行く|午後|五時|始まる|その|前|駅|近く|晩ご飯|食べる,Matched by expression/reading when available.,auto_matched
read_map_n5_0047,read_n5_0016,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_075|grm_n5_060|grm_n5_049|grm_n5_048|grm_n5_005,の|と|を|に行く|に|その前に|で,Matched by grammar_point where available.,auto_matched
read_map_n5_0048,read_n5_0016,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_027|kanji_n5_094|kanji_n5_061|kanji_n5_001|kanji_n5_076|kanji_n5_016|kanji_n5_015|kanji_n5_047|kanji_n5_019|kanji_n5_022|kanji_n5_014|kanji_n5_020|kanji_n5_083|kanji_n5_064,今週土日友見行午後五時前駅食,Matched by kanji characters in passage.,auto_matched
read_map_n5_0049,read_n5_0017,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0233|vocab_n5_0160|vocab_n5_0204|vocab_n5_0253|vocab_n5_0460|vocab_n5_0621|vocab_n5_0713|vocab_n5_0490|vocab_n5_0564|vocab_n5_0661|vocab_n5_0230,黒い|傘|探す|今日|午後|図書館|前|忘れる|名前|人|事務室|持つ|来る,Matched by expression/reading when available.,auto_matched
read_map_n5_0050,read_n5_0017,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_048|grm_n5_092|grm_n5_105|grm_n5_051|grm_n5_072,ています|の|に|ました|ありません|た人|へ|てください,Matched by grammar_point where available.,auto_matched
read_map_n5_0051,read_n5_0017,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_027|kanji_n5_001|kanji_n5_047|kanji_n5_019|kanji_n5_049|kanji_n5_020|kanji_n5_051|kanji_n5_016|kanji_n5_004|kanji_n5_039,今日午後書前名見人来,Matched by kanji characters in passage.,auto_matched
read_map_n5_0052,read_n5_0018,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0355|vocab_n5_0204|vocab_n5_0168|vocab_n5_0672|vocab_n5_0318|vocab_n5_0016|vocab_n5_0383,先生|おはようございます|今日|熱|学校|休む|宿題|明日|出す,Matched by expression/reading when available.,auto_matched
read_map_n5_0053,read_n5_0018,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_012|grm_n5_023|grm_n5_060|grm_n5_079,があります|から|を|ます|は,Matched by grammar_point where available.,auto_matched
read_map_n5_0054,read_n5_0018,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_050|kanji_n5_021|kanji_n5_027|kanji_n5_001|kanji_n5_031|kanji_n5_059|kanji_n5_078|kanji_n5_012,先生今日学校休出,Matched by kanji characters in passage.,auto_matched
read_map_n5_0055,read_n5_0019,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0714|vocab_n5_0509|vocab_n5_0490|vocab_n5_0325|vocab_n5_0399|vocab_n5_0277|vocab_n5_0331|vocab_n5_0203|vocab_n5_0515|vocab_n5_0691|vocab_n5_0594|vocab_n5_0510,私|猫|名前|白い|小さい|魚|好き|牛乳|飲む|夜|ベッド|寝る,Matched by expression/reading when available.,auto_matched
read_map_n5_0056,read_n5_0019,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_079|grm_n5_041|grm_n5_011|grm_n5_005,の|は|くて|が|ですが|あまり～ない|で,Matched by grammar_point where available.,auto_matched
read_map_n5_0057,read_n5_0019,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_051|kanji_n5_020|kanji_n5_070|kanji_n5_041|kanji_n5_086|kanji_n5_082,名前白小魚飲,Matched by kanji characters in passage.,auto_matched
read_map_n5_0058,read_n5_0020,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0204|vocab_n5_0253|vocab_n5_0037|vocab_n5_0423|vocab_n5_0440|vocab_n5_0335|vocab_n5_0092|vocab_n5_0628|vocab_n5_0532|vocab_n5_0413|vocab_n5_0430,お知らせ|今日|午後|雨|強い|電車|少し|遅れる|駅|待つ|バス|使う|できる,Matched by expression/reading when available.,auto_matched
read_map_n5_0059,read_n5_0020,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_023|grm_n5_011|grm_n5_005|grm_n5_072|grm_n5_034|grm_n5_113,から|が|ています|で|てください|も|ことができる,Matched by grammar_point where available.,auto_matched
read_map_n5_0060,read_n5_0020,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_027|kanji_n5_001|kanji_n5_047|kanji_n5_019|kanji_n5_080|kanji_n5_058|kanji_n5_065|kanji_n5_095|kanji_n5_083,今日午後雨電車少駅,Matched by kanji characters in passage.,auto_matched
read_map_n5_0061,read_n5_0021,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0694|vocab_n5_0215|vocab_n5_0168|vocab_n5_0156|vocab_n5_0325|vocab_n5_0312|vocab_n5_0233|vocab_n5_0341|vocab_n5_0210|vocab_n5_0638|vocab_n5_0661|vocab_n5_0230|vocab_n5_0037,来週|金曜日|学校|運動会|学生|白い|シャツ|黒い|ズボン|着る|水|持つ|来る|雨|時,Matched by expression/reading when available.,auto_matched
read_map_n5_0062,read_n5_0021,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_048|grm_n5_005|grm_n5_012|grm_n5_079|grm_n5_075|grm_n5_060|grm_n5_072|grm_n5_105,に|で|があります|は|と|を|てください|の時|ありません,Matched by grammar_point where available.,auto_matched
read_map_n5_0063,read_n5_0021,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_039|kanji_n5_094|kanji_n5_028|kanji_n5_001|kanji_n5_031|kanji_n5_059|kanji_n5_085|kanji_n5_021|kanji_n5_070|kanji_n5_054|kanji_n5_080|kanji_n5_014,来週金日学校会生白水雨時,Matched by kanji characters in passage.,auto_matched
read_map_n5_0064,read_n5_0022,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0031|vocab_n5_0016|vocab_n5_0256|vocab_n5_0638|vocab_n5_0413|vocab_n5_0430|vocab_n5_0356|vocab_n5_0204|vocab_n5_0691,アパート|お知らせ|明日|午前|十時|十二時|水|使う|できる|洗濯|今日|夜,Matched by expression/reading when available.,auto_matched
read_map_n5_0065,read_n5_0022,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_023|grm_n5_029|grm_n5_088|grm_n5_072,の|から|まで|ことができません|までに|てください,Matched by grammar_point where available.,auto_matched
read_map_n5_0066,read_n5_0022,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_001|kanji_n5_047|kanji_n5_020|kanji_n5_007|kanji_n5_014|kanji_n5_008|kanji_n5_054|kanji_n5_027,日午前十時二水今,Matched by kanji characters in passage.,auto_matched
read_map_n5_0067,read_n5_0023,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0714|vocab_n5_0139|vocab_n5_0522|vocab_n5_0177|vocab_n5_0659|vocab_n5_0335|vocab_n5_0430|vocab_n5_0195|vocab_n5_0626,私|音楽|クラブ|入る|火曜日|木曜日|放課後|練習する|ピアノ|少し|できる|ギター|まだ,Matched by expression/reading when available.,auto_matched
read_map_n5_0068,read_n5_0023,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_048|grm_n5_075|grm_n5_052|grm_n5_011,に|ています|と|の|に|が|まだ～ない,Matched by grammar_point where available.,auto_matched
read_map_n5_0069,read_n5_0023,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_030|kanji_n5_073|kanji_n5_001|kanji_n5_062|kanji_n5_019|kanji_n5_095,入火日木後少,Matched by kanji characters in passage.,auto_matched
read_map_n5_0070,read_n5_0024,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0200|vocab_n5_0021|vocab_n5_0302|vocab_n5_0149|vocab_n5_0074|vocab_n5_0005|vocab_n5_0589|vocab_n5_0182|vocab_n5_0618|vocab_n5_0372|vocab_n5_0049,昨日|新しい|自転車|買う|色|赤|古い|軽い|毎日|大学|行く,Matched by expression/reading when available.,auto_matched
read_map_n5_0071,read_n5_0024,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_092|grm_n5_060|grm_n5_079|grm_n5_080|grm_n5_005|grm_n5_051,ました|を|は|より|で|へ,Matched by grammar_point where available.,auto_matched
read_map_n5_0072,read_n5_0024,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_001|kanji_n5_096|kanji_n5_065|kanji_n5_101|kanji_n5_089|kanji_n5_069|kanji_n5_006|kanji_n5_031|kanji_n5_015,日新車買古毎大学行,Matched by kanji characters in passage.,auto_matched
read_map_n5_0073,read_n5_0025,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0609|vocab_n5_0322|vocab_n5_0596|vocab_n5_0154|vocab_n5_0428|vocab_n5_0383,ホテル|朝ご飯|七時|九時|食堂|一階|部屋|鍵|出かける|時|フロント|出す,Matched by expression/reading when available.,auto_matched
read_map_n5_0074,read_n5_0025,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_079|grm_n5_023|grm_n5_029|grm_n5_048|grm_n5_072,の|は|から|まで|にあります|時|に|てください,Matched by grammar_point where available.,auto_matched
read_map_n5_0075,read_n5_0025,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_042|kanji_n5_014|kanji_n5_029|kanji_n5_064|kanji_n5_002|kanji_n5_012,七時九食一出,Matched by kanji characters in passage.,auto_matched
read_map_n5_0076,read_n5_0026,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0264|vocab_n5_0245|vocab_n5_0302|vocab_n5_0516|vocab_n5_0065|vocab_n5_0661|vocab_n5_0151|vocab_n5_0691|vocab_n5_0307,この|公園|自転車|乗る|犬|散歩する|ご飯|持つ|帰る|夜|十時|閉まる,Matched by expression/reading when available.,auto_matched
read_map_n5_0077,read_n5_0026,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_020|grm_n5_074|grm_n5_011|grm_n5_052|grm_n5_072|grm_n5_048,では|てはいけません|てもいいです|が|の|てください|に,Matched by grammar_point where available.,auto_matched
read_map_n5_0078,read_n5_0026,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_065|kanji_n5_007|kanji_n5_014,車十時,Matched by kanji characters in passage.,auto_matched
read_map_n5_0079,read_n5_0027,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0693|vocab_n5_0701|vocab_n5_0205|vocab_n5_0183|vocab_n5_0418|vocab_n5_0104|vocab_n5_0564|vocab_n5_0215|vocab_n5_0490|vocab_n5_0155,来月|料理|教室|日本|カレー|作る|お金|千円|参加する|人|金曜日|名前|書く,Matched by expression/reading when available.,auto_matched
read_map_n5_0080,read_n5_0027,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_012|grm_n5_052|grm_n5_060|grm_n5_088|grm_n5_072,があります|の|を|たい人|までに|てください,Matched by grammar_point where available.,auto_matched
read_map_n5_0081,read_n5_0027,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_039|kanji_n5_017|kanji_n5_001|kanji_n5_009|kanji_n5_028|kanji_n5_053|kanji_n5_033|kanji_n5_004|kanji_n5_051|kanji_n5_020|kanji_n5_049,来月日本金千円人名前書,Matched by kanji characters in passage.,auto_matched
read_map_n5_0082,read_n5_0028,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0123|vocab_n5_0199|vocab_n5_0051,客|大人|切符|二枚|店員|二千円|子ども|いくら|一枚|五百円,Matched by expression/reading when available.,auto_matched
read_map_n5_0083,read_n5_0028,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_061|grm_n5_005|grm_n5_043|grm_n5_079|grm_n5_021,の|をください|で|はい|は|か,Matched by grammar_point where available.,auto_matched
read_map_n5_0084,read_n5_0028,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_006|kanji_n5_004|kanji_n5_008|kanji_n5_099|kanji_n5_053|kanji_n5_033|kanji_n5_034|kanji_n5_002|kanji_n5_022|kanji_n5_048,大人二店千円子一五百,Matched by kanji characters in passage.,auto_matched
