id,jlpt_level,set_type,display_order,counter_symbol,counter_reading_kana,counter_romaji,counter_romaji_alt,counter_category,usage_id,usage_en,example_nouns_jp,example_nouns_id,how_many_form,how_many_reading,counting_range_recommended,has_sound_changes,is_core_n5,is_common,recommended_for_quiz,source_url,notes
ctr_byou,N5,extended_n5,18,秒,びょう,byou,,seconds,detik,seconds,一秒|十秒,1 detik|10 detik,何秒,なんびょう,1+,false,false,true,false,https://www.tofugu.com/japanese-grammar/date-and-time/,Useful for listening/time.
ctr_sai,N5,core_n5,19,歳,さい,sai,才,age,umur,years old/age,一歳|八歳|二十歳,1 tahun|8 tahun|20 tahun,何歳,なんさい,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,才 is common shorthand; 二十歳 is はたち.
ctr_nen,N5,core_n5,20,年,ねん,nen,,years,tahun/kalender/durasi tahun,year/calendar year,一年|二年|来年,1 tahun|2 tahun|tahun depan,何年,なんねん,1+,true,true,true,true,https://www.tofugu.com/japanese-grammar/date-and-time/,For dates and duration.
ctr_gatsu,N5,core_n5,21,月,がつ,gatsu,,calendar_month,bulan kalender,calendar month,一月|四月|九月,Januari|April|September,何月,なんがつ,1-12,true,true,true,true,https://www.mlcjapanese.co.jp/n5_01_07.html,"Month names have special readings for 4,7,9."
ctr_nichi_date,N5,core_n5,22,日,にち,nichi,ka,date_day,tanggal dalam bulan,day of month/date,一日|二日|二十日,tanggal 1|tanggal 2|tanggal 20,何日,なんにち,1-31,true,true,true,true,https://www.mlcjapanese.co.jp/n5_01_07.html,Many irregular date readings.
ctr_youbi,N5,core_n5,23,曜日,ようび,youbi,,weekday,hari dalam minggu,day of week,月曜日|火曜日|日曜日,Senin|Selasa|Minggu,何曜日,なんようび,7 days,false,true,true,true,https://www.mlcjapanese.co.jp/n5_01_07.html,Uses natural element kanji.
ctr_shuukan,N5,core_n5,24,週間,しゅうかん,shuukan,,duration_weeks,durasi minggu,weeks duration,一週間|二週間,1 minggu|2 minggu,何週間,なんしゅうかん,1+,true,true,true,true,https://www.tofugu.com/japanese-grammar/date-and-time/,Duration counter for weeks.
ctr_kagetsu,N5,core_n5,25,ヶ月,かげつ,kagetsu,か月|ヵ月,duration_months,durasi bulan,months duration,一ヶ月|三ヶ月,1 bulan|3 bulan,何ヶ月,なんかげつ,1+,true,true,true,true,https://www.tofugu.com/japanese-grammar/date-and-time/,"Written variants: ヶ月, か月, ヵ月."
ctr_jikan,N5,core_n5,26,時間,じかん,jikan,,duration_hours,durasi jam,hours duration,一時間|三時間,1 jam|3 jam,何時間,なんじかん,1+,true,true,true,true,https://www.tofugu.com/japanese-grammar/date-and-time/,Different from 時 clock time.
ctr_do,N5,extended_n5,27,度,ど,do,,degree_frequency,derajat/suhu/frekuensi,degree/temperature/frequency,一度|三十度,sekali|30 derajat,何度,なんど,1+,false,false,true,false,https://www.mlcjapanese.co.jp/cou.html,Useful for weather/temperature.
ctr_me,N5,extended_n5,28,目,め,me,,ordinal_suffix,ke-; urutan,ordinal suffix,一回目|二番目,kali pertama|nomor kedua,何番目,なんばんめ,1+,false,false,true,false,https://www.mlcjapanese.co.jp/cou.html,Attach after counter to make ordinal.
ctr_tsuu,N5,extended_n5,29,通,つう,tsuu,,mail_letters,surat/email,letters/emails,手紙|メール,surat|email,何通,なんつう,1+,false,false,true,false,https://www.mlcjapanese.co.jp/cou.html,Useful but can be later.
ctr_ken,N5,extended_n5,30,件,けん,ken,,cases_matters,kasus/perkara/urusan,cases/matters,事件|メール件名,kejadian|urusan,何件,なんけん,1+,true,false,true,false,https://www.mlcjapanese.co.jp/cou.html,Useful for advanced beginner.
ctr_sha,N5,extended_n5,31,社,しゃ,sha,,companies,perusahaan,companies,会社,perusahaan,何社,なんしゃ,1+,false,false,true,false,https://www.mlcjapanese.co.jp/cou.html,Business related.
ctr_ten,N5,extended_n5,32,点,てん,ten,,points_items,poin/barang,points/items,点数|商品,nilai|produk,何点,なんてん,1+,false,false,true,false,https://www.mlcjapanese.co.jp/cou.html,Points or goods/items.
ctr_shoku,N5,extended_n5,33,食,しょく,shoku,,meals,porsi/makan,meals,朝食|昼食|夕食,sarapan|makan siang|makan malam,何食,なんしょく,1+,true,false,true,false,https://www.mlcjapanese.co.jp/cou.html,Useful for daily life.
