id,jlpt_level,display_order,expression,primary_expression,reading,romaji,script_type,part_of_speech_id,part_of_speech,semantic_category,meaning_id,meaning_en,tags_original,is_common,is_official_jlpt_list,source_basis,source_url,audio_path,example_sentence_jp,example_sentence_id,notes
vocab_n5_0011,N5,11,上げる,上げる,あげる,ageru,kanji_kana,kata_kerja,kata kerja,aksi_kegiatan,"menaikkan, memberi","to raise, to lift",JLPT JLPT_3 JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ageru.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0012,N5,12,朝,朝,あさ,asa,kanji_kana,kata_benda,kata benda,waktu_tanggal,pagi,morning,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/asa.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0013,N5,13,朝御飯,朝御飯,あさごはん,asagohan,kanji_kana,kata_benda,kata benda,waktu_tanggal,sarapan,breakfast,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/asagohan.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0014,N5,14,明後日,明後日,あさって,asatte,kanji_kana,kata_benda,kata benda,waktu_tanggal,lusa,day after tomorrow,JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/asatte.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0015,N5,15,足; 脚,足,あし,ashi,kanji_kana,kata_benda,kata benda,umum,kaki,foot; leg,JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ashi.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0016,N5,16,明日,明日,あした,ashita,kanji_kana,kata_benda,kata benda,waktu_tanggal,besok,tomorrow,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ashita.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0017,N5,17,あそこ,あそこ,あそこ,asoko,hiragana,pronomina,kata ganti/penunjuk,tempat_bangunan,di sana,"there, over there, that place",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/asoko.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0018,N5,18,遊ぶ,遊ぶ,あそぶ,asobu,kanji_kana,kata_kerja,kata kerja,aksi_kegiatan,bermain,to play; to spend time pleasantly; to hang out,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/asobu.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0019,N5,19,暖かい,暖かい,あたたかい,atatakai,kanji_kana,kata_sifat_i,kata sifat-i,alam_cuaca,hangat,warm,JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/atatakai.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0020,N5,20,頭,頭,あたま,atama,kanji_kana,kata_benda,kata benda,tubuh_kesehatan,kepala,head,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/atama.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0021,N5,21,新しい,新しい,あたらしい,atarashii,kanji_kana,kata_sifat_i,kata sifat-i,sifat_umum,baru,new,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/atarashii.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0022,N5,22,あちら,あちら,あちら,achira,hiragana,pronomina,kata ganti/penunjuk,tempat_bangunan,this way (polite),this way (polite),Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/achira.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0023,N5,23,暑い,暑い,あつい,atsui,kanji_kana,kata_sifat_i,kata sifat-i,alam_cuaca,panas (cuaca),"hot (in reference to weather), warm",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/atsui.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0024,N5,24,熱い,熱い,あつい,atsui,kanji_kana,kata_sifat_i,kata sifat-i,sifat_keadaan,panas (benda),hot (objects),Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/atsui.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0025,N5,25,厚い,厚い,あつい,atsui,kanji_kana,kata_sifat_i,kata sifat-i,sifat_keadaan,tebal,"kind, warm(hearted), thick, deep",JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/atsui.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0026,N5,26,あっち,あっち,あっち,acchi,hiragana,pronomina,kata ganti/penunjuk,tempat_bangunan,over there,over there,JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/acchi.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0027,N5,27,後,後,あと,ato,kanji_kana,kata_benda,kata benda,umum,"setelah, belakang",afterwards (later); in the future; the rest; since then,Genki Genki_Ln.18 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ato.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0028,N5,28,あなた,あなた,あなた,anata,hiragana,pronomina,kata ganti/penunjuk,keluarga_orang,anda/kamu,you,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/anata.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0029,N5,29,兄,兄,あに,ani,kanji_kana,kata_benda,kata benda,keluarga_orang,kakak laki-laki,(my) older brother (humble),Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ani.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0030,N5,30,姉,姉,あね,ane,kanji_kana,kata_benda,kata benda,keluarga_orang,kakak perempuan,(my) older sister (humble),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ane.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0031,N5,31,アパート,アパート,アパート,apaato,katakana,kata_benda,kata benda,tempat_bangunan,apartemen,apartment (abbr.),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/apaato.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0032,N5,32,あの,あの,あの,ano,hiragana,pronomina,kata ganti/penunjuk,fungsi_bahasa,"that over there, suka that, that way, um...","that over there; like that, that way; um...",JLPT JLPT_4 JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ano.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0033,N5,33,浴びる,浴びる,あびる,abiru,kanji_kana,kata_kerja,kata kerja,aksi_kegiatan,mandi,"to bathe, to shower",JLPT JLPT_3 JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/abiru.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0034,N5,34,危ない,危ない,あぶない,abunai,kanji_kana,kata_sifat_i,kata sifat-i,sifat_umum,berbahaya,"dangerous, critical",Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/abunai.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0035,N5,35,甘い,甘い,あまい,amai,kanji_kana,kata_sifat_i,kata sifat-i,sifat_umum,manis,"generous, sweet",Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/amai.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0036,N5,36,余り,余り,あまり,amari,kanji_kana,kata_benda,kata benda,umum,"not very, surplus",not very; surplus,JLPT JLPT_3 JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/amari.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0037,N5,37,雨,雨,あめ,ame,kanji_kana,kata_benda,kata benda,alam_cuaca,hujan,rain,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ame.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0038,N5,38,飴,飴,あめ,ame,kanji_kana,kata_benda,kata benda,umum,(hard) candy,(hard) candy,JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/ame.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0039,N5,39,洗う,洗う,あらう,arau,kanji_kana,kata_kerja,kata kerja,aksi_kegiatan,mencuci,to wash,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/arau.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0040,N5,40,在る,在る,ある,aru,kanji_kana,kata_kerja,kata kerja,aksi_kegiatan,"be, have","to be, to have",JLPT JLPT_3 JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/aru.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0041,N5,41,有る,有る,ある,aru,kanji_kana,kata_kerja,kata kerja,aksi_kegiatan,ada (benda mati),"to be, to have",JLPT JLPT_3 JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/aru.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
vocab_n5_0042,N5,42,歩く,歩く,あるく,aruku,kanji_kana,kata_kerja,kata kerja,aksi_kegiatan,berjalan,to walk,Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,true,false,open_anki_n5_with_common_n5_cross_reference,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,/assets/audio/vocab/n5/aruku.mp3,,,N5 study-list item; JLPT does not publish an official vocabulary master list. POS/category auto-enriched and should be reviewed for edge cases.
