id,jlpt_level,set_type,display_order,rule_family,form_key,form_name_id,meaning_id,source_form,verb_group,applies_to_ending,match_condition,operation,stem_change,append_text,result_formula_id,example_verb,example_reading,example_romaji,example_result,example_result_romaji,example_meaning_id,polarity,tense,politeness,used_by_grammar_points,is_core_n5,recommended_for_quiz,priority,source_url,notes
vcr_n5_030,N5,core_n5_conjugation,30,auxiliary_suffix,masen_deshita_form,Bentuk ませんでした,bentuk sopan lampau negatif,masu_stem,any,any,masu_stem exists,append_suffix,,ませんでした,masu_stem + ませんでした,読む,よむ,yomu,読みませんでした,yomimasen deshita,Membaca.,negative,past,polite,ませんでした,true,true,1,https://nihongoichiban.com/2011/09/08/japanese-grammar-of-verbs-for-jlpt-n5/,Bisa dijalankan setelah rule masu_stem.
vcr_n5_031,N5,core_n5_conjugation,31,auxiliary_suffix,mashou_form,Bentuk ましょう,ayo/mari melakukan; ajakan sopan,masu_stem,any,any,masu_stem exists,append_suffix,,ましょう,masu_stem + ましょう,読む,よむ,yomu,読みましょう,yomimashou,Membaca.,affirmative,volitional,polite,ましょう,true,true,1,https://www.mlcjapanese.co.jp/n5_04_08.html,Bisa dijalankan setelah rule masu_stem.
vcr_n5_032,N5,core_n5_conjugation,32,auxiliary_suffix,masenka_form,Bentuk ませんか,ajakan sopan: maukah/kenapa tidak,masu_stem,any,any,masu_stem exists,append_suffix,,ませんか,masu_stem + ませんか,読む,よむ,yomu,読みませんか,yomimasen ka,Membaca.,question,non_past,polite,ませんか,true,true,1,https://www.mlcjapanese.co.jp/n5_04_08.html,Bisa dijalankan setelah rule masu_stem.
vcr_n5_033,N5,core_n5_conjugation,33,auxiliary_suffix,tai_desu_form,Bentuk たいです,ingin melakukan sesuatu,masu_stem,any,any,masu_stem exists,append_suffix,,たいです,masu_stem + たいです,読む,よむ,yomu,読みたいです,yomitai desu,Membaca.,affirmative,non_past,polite,たい,true,true,1,https://www.mlcjapanese.co.jp/n5_04_08.html,Bisa dijalankan setelah rule masu_stem.
vcr_n5_034,N5,core_n5_conjugation,34,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,ichidan,る,verb_group == ichidan AND ending matches る,drop_final_kana_append,る->,ない,dictionary -> nai_form,食べる,たべる,taberu,食べない,tabenai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_035,N5,core_n5_conjugation,35,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,う,verb_group == godan AND ending matches う,replace_last_kana_append,う->わ,ない,dictionary -> nai_form,買う,かう,kau,買わない,kawanai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_036,N5,core_n5_conjugation,36,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,く,verb_group == godan AND ending matches く,replace_last_kana_append,く->か,ない,dictionary -> nai_form,書く,かく,kaku,書かない,kakanai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_037,N5,core_n5_conjugation,37,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,ぐ,verb_group == godan AND ending matches ぐ,replace_last_kana_append,ぐ->が,ない,dictionary -> nai_form,泳ぐ,およぐ,oyogu,泳がない,oyoganai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_038,N5,core_n5_conjugation,38,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,す,verb_group == godan AND ending matches す,replace_last_kana_append,す->さ,ない,dictionary -> nai_form,話す,はなす,hanasu,話さない,hanasanai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_039,N5,core_n5_conjugation,39,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,つ,verb_group == godan AND ending matches つ,replace_last_kana_append,つ->た,ない,dictionary -> nai_form,待つ,まつ,matsu,待たない,matanai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_040,N5,core_n5_conjugation,40,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,ぬ,verb_group == godan AND ending matches ぬ,replace_last_kana_append,ぬ->な,ない,dictionary -> nai_form,死ぬ,しぬ,shinu,死なない,shinanai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_041,N5,core_n5_conjugation,41,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,ぶ,verb_group == godan AND ending matches ぶ,replace_last_kana_append,ぶ->ば,ない,dictionary -> nai_form,遊ぶ,あそぶ,asobu,遊ばない,asobanai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_042,N5,core_n5_conjugation,42,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,む,verb_group == godan AND ending matches む,replace_last_kana_append,む->ま,ない,dictionary -> nai_form,読む,よむ,yomu,読まない,yomanai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_043,N5,core_n5_conjugation,43,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,godan,る,verb_group == godan AND ending matches る,replace_last_kana_append,る->ら,ない,dictionary -> nai_form,帰る,かえる,kaeru,帰らない,kaeranai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_044,N5,core_n5_conjugation,44,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,irregular_suru,する,verb_group == irregular_suru AND ending matches する,replace_whole_word,する->しない,,dictionary -> nai_form,する,する,suru,しない,shinai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_045,N5,core_n5_conjugation,45,plain_negative,nai_form,ない form,bentuk plain negatif non-lampau.,dictionary,irregular_kuru,来る|くる,verb_group == irregular_kuru AND ending matches 来る|くる,replace_whole_word,来る->来(こ)ない,,dictionary -> nai_form,来る,くる,kuru,来ない,konai,Tidak melakukan aksi.,negative,non_past,plain,ない|ないでください|なければなりません|なくてもいい|ないほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Khusus godan う menjadi わない, bukan あない."
vcr_n5_046,N5,core_n5_conjugation,46,plain_past_negative,nakatta_form,なかった form,bentuk plain lampau negatif.,nai_form,any,ない,nai_form ends_with ない,replace_suffix,ない->なかった,,replace final ない with なかった,読む,よむ,yomu,読まなかった,yomanakatta,Tidak membaca / belum membaca.,negative,past,plain,plain_past_negative,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,"Lebih aman generate dari nai_form agar irregular ikut benar: しない→しなかった, 来ない→来なかった."
vcr_n5_047,N5,core_n5_conjugation,47,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,ichidan,る,verb_group == ichidan AND ending matches る,drop_final_kana_append,る->,て,dictionary -> te_form,食べる,たべる,taberu,食べて,tabete,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_048,N5,core_n5_conjugation,48,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,godan,う|つ|る,verb_group == godan AND ending matches う|つ|る,replace_last_kana_append,う/つ/る->っ,て,dictionary -> te_form,買う,かう,kau,買って,katte,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_049,N5,core_n5_conjugation,49,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,godan,む|ぶ|ぬ,verb_group == godan AND ending matches む|ぶ|ぬ,replace_last_kana_append,む/ぶ/ぬ->ん,で,dictionary -> te_form,読む,よむ,yomu,読んで,yonde,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_050,N5,core_n5_conjugation,50,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,godan,く,verb_group == godan AND ending matches く,replace_last_kana_append,く->い,て,dictionary -> te_form,書く,かく,kaku,書いて,kaite,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_051,N5,core_n5_conjugation,51,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,godan_exception,行く,verb_group == godan_exception AND ending matches 行く,replace_whole_word,行く->行っ,て,dictionary -> te_form,行く,いく,iku,行って,itte,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_052,N5,core_n5_conjugation,52,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,godan,ぐ,verb_group == godan AND ending matches ぐ,replace_last_kana_append,ぐ->い,で,dictionary -> te_form,泳ぐ,およぐ,oyogu,泳いで,oyoide,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_053,N5,core_n5_conjugation,53,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,godan,す,verb_group == godan AND ending matches す,replace_last_kana_append,す->し,て,dictionary -> te_form,話す,はなす,hanasu,話して,hanashite,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_054,N5,core_n5_conjugation,54,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,irregular_suru,する,verb_group == irregular_suru AND ending matches する,replace_whole_word,する->し,て,dictionary -> te_form,する,する,suru,して,shite,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_055,N5,core_n5_conjugation,55,te_ta_conversion,te_form,て form,"bentuk て untuk sambungan, request, progressive, izin, larangan.",dictionary,irregular_kuru,来る|くる,verb_group == irregular_kuru AND ending matches 来る|くる,replace_whole_word,来る->来(き),て,dictionary -> te_form,来る,くる,kuru,来て,kite,Bentuk て.,affirmative,non_past,plain,てください|ています|てもいいです|てはいけません|てから,true,true,1,https://www.tofugu.com/japanese-grammar/te-form/,"行く adalah pengecualian: 行って, bukan 行いて."
vcr_n5_056,N5,core_n5_conjugation,56,te_ta_conversion,ta_form,た form,bentuk plain lampau afirmatif.,dictionary,ichidan,る,verb_group == ichidan AND ending matches る,drop_final_kana_append,る->,た,dictionary -> ta_form,食べる,たべる,taberu,食べた,tabeta,Bentuk lampau plain.,affirmative,past,plain,た|たほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,Pattern mirip て form: て/で menjadi た/だ.
vcr_n5_057,N5,core_n5_conjugation,57,te_ta_conversion,ta_form,た form,bentuk plain lampau afirmatif.,dictionary,godan,う|つ|る,verb_group == godan AND ending matches う|つ|る,replace_last_kana_append,う/つ/る->っ,た,dictionary -> ta_form,買う,かう,kau,買った,katta,Bentuk lampau plain.,affirmative,past,plain,た|たほうがいい,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,Pattern mirip て form: て/で menjadi た/だ.
