id,jlpt_level,set_type,display_order,passage_key,title_id,title_en,topic,difficulty_order,reading_format,passage_jp,passage_romaji,passage_id,character_count,estimated_reading_seconds,question_count,target_vocab_ids,target_vocab_terms,target_grammar_ids,target_grammar_points,target_kanji_ids,target_kanji_chars,structured_data_json,recommended_for_mvp,recommended_for_quiz,used_in_mock_test,source_basis,source_url,review_status,notes
read_n5_0011,N5,curated_original_reading_n5,11,weather_plan,雨の日,,weather,2,short_story,今日は朝から雨です。私は公園へ行きたかったですが、行きませんでした。家で本を読んで、音楽を聞きました。午後、雨が止みました。,"Kyou wa asa kara ame desu. Watashi wa kouen e ikitakatta desu ga, ikimasen deshita. Ie de hon o yonde, ongaku o kikimashita. Gogo, ame ga yamimashita.","Hari ini hujan sejak pagi. Saya ingin pergi ke taman, tetapi tidak pergi. Di rumah saya membaca buku dan mendengarkan musik. Sore/siang, hujan berhenti.",62,66,3,vocab_n5_0204|vocab_n5_0012|vocab_n5_0037|vocab_n5_0714|vocab_n5_0245|vocab_n5_0049|vocab_n5_0047|vocab_n5_0610|vocab_n5_0690|vocab_n5_0139|vocab_n5_0193|vocab_n5_0253,今日|朝|雨|私|公園|行く|家|本|読む|音楽|聞く|午後|止む,grm_n5_023|grm_n5_067|grm_n5_011|grm_n5_093|grm_n5_005|grm_n5_009|grm_n5_092,から|たい|が|ませんでした|で|て|ました,kanji_n5_027|kanji_n5_001|kanji_n5_080|kanji_n5_015|kanji_n5_009|kanji_n5_075|kanji_n5_063|kanji_n5_047|kanji_n5_019,今日雨行本読聞午後,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0012,N5,curated_original_reading_n5,12,doctor_visit,病院へ行きました,,health,2,short_story,昨日、頭が痛かったです。学校を休んで、病院へ行きました。医者は「薬を飲んで、早く寝てください」と言いました。,"Kinou, atama ga itakatta desu. Gakkou o yasunde, byouin e ikimashita. Isha wa 'kusuri o nonde, hayaku nete kudasai' to iimashita.","Kemarin kepala saya sakit. Saya tidak masuk sekolah dan pergi ke rumah sakit. Dokter berkata, “Minumlah obat dan tidurlah lebih awal.”",54,60,3,vocab_n5_0200|vocab_n5_0020|vocab_n5_0056|vocab_n5_0168|vocab_n5_0672|vocab_n5_0570|vocab_n5_0049|vocab_n5_0053|vocab_n5_0217|vocab_n5_0515|vocab_n5_0543|vocab_n5_0510|vocab_n5_0046,昨日|頭|痛い|学校|休む|病院|行く|医者|薬|飲む|早い|寝る|言う,grm_n5_011|grm_n5_060|grm_n5_009|grm_n5_051|grm_n5_072,が|かったです|を|て|へ|てください|と言いました,kanji_n5_001|kanji_n5_031|kanji_n5_059|kanji_n5_078|kanji_n5_015|kanji_n5_082|kanji_n5_088,日学校休行飲言,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0013,N5,curated_original_reading_n5,13,direction_postoffice,郵便局まで,,directions,2,direction,駅を出て、まっすぐ行ってください。二つ目の角を右に曲がります。郵便局は銀行の隣です。歩いて五分ぐらいです。,"Eki o dete, massugu itte kudasai. Futatsume no kado o migi ni magarimasu. Yuubinkyoku wa ginkou no tonari desu. Aruite go-fun gurai desu.","Keluar dari stasiun, lalu jalan lurus. Belok kanan di sudut kedua. Kantor pos ada di sebelah bank. Sekitar lima menit berjalan kaki.",53,59,3,vocab_n5_0092|vocab_n5_0436|vocab_n5_0629|vocab_n5_0049|vocab_n5_0171|vocab_n5_0636|vocab_n5_0678|vocab_n5_0214|vocab_n5_0465|vocab_n5_0042,駅|出る|まっすぐ|行く|二つ目|角|右|曲がる|郵便局|銀行|隣|歩く|五分|ぐらい,grm_n5_072|grm_n5_052|grm_n5_060|grm_n5_048|grm_n5_079|grm_n5_002|grm_n5_085,てください|の|を|に|は|です|ぐらい,kanji_n5_083|kanji_n5_012|kanji_n5_015|kanji_n5_008|kanji_n5_102|kanji_n5_074|kanji_n5_022|kanji_n5_018,駅出行二目右五分,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0014,N5,curated_original_reading_n5,14,birthday_party,誕生日パーティー,,invitation,2,invitation,土曜日に私の家で誕生日パーティーをします。時間は午後二時から四時までです。ケーキとジュースがあります。来てください。,Doyoubi ni watashi no ie de tanjoubi paatii o shimasu. Jikan wa gogo ni-ji kara yo-ji made desu. Keeki to juusu ga arimasu. Kite kudasai.,Pada hari Sabtu ada pesta ulang tahun di rumah saya. Waktunya dari jam dua sampai jam empat sore. Ada kue dan jus. Tolong datang.,58,63,3,vocab_n5_0470|vocab_n5_0714|vocab_n5_0047|vocab_n5_0397|vocab_n5_0518|vocab_n5_0294|vocab_n5_0253|vocab_n5_0230,土曜日|私|家|誕生日|パーティー|時間|午後|二時|四時|ケーキ|ジュース|来る,grm_n5_048|grm_n5_052|grm_n5_005|grm_n5_023|grm_n5_029|grm_n5_012|grm_n5_072,に|の|で|をします|から|まで|があります|てください,kanji_n5_061|kanji_n5_001|kanji_n5_021|kanji_n5_014|kanji_n5_023|kanji_n5_047|kanji_n5_019|kanji_n5_008|kanji_n5_026|kanji_n5_039,土日生時間午後二四来,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0015,N5,curated_original_reading_n5,15,part_time_job,アルバイト,,work,3,short_story,私は日曜日だけ、カフェでアルバイトをしています。仕事は朝九時から午後一時までです。忙しいですが、楽しいです。お金をためたいです。,"Watashi wa nichiyoubi dake, kafe de arubaito o shite imasu. Shigoto wa asa ku-ji kara gogo ichi-ji made desu. Isogashii desu ga, tanoshii desu. Okane o tametai desu.","Saya bekerja paruh waktu di kafe hanya pada hari Minggu. Pekerjaannya dari jam sembilan pagi sampai jam satu siang. Sibuk, tetapi menyenangkan. Saya ingin menabung.",64,78,3,vocab_n5_0714|vocab_n5_0501|vocab_n5_0296|vocab_n5_0012|vocab_n5_0253|vocab_n5_0055|vocab_n5_0388|vocab_n5_0104,私|日曜日|だけ|カフェ|アルバイト|仕事|朝|九時|午後|一時|忙しい|楽しい|お金|ためる,grm_n5_003|grm_n5_005|grm_n5_023|grm_n5_029|grm_n5_067,だけ|で|ています|から|まで|ですが|たい,kanji_n5_001|kanji_n5_029|kanji_n5_014|kanji_n5_047|kanji_n5_019|kanji_n5_002|kanji_n5_028,日九時午後一金,{},true,true,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0016,N5,curated_original_reading_n5,16,weekend_plan,週末の予定,,plans,2,message,今週の土曜日、友達と映画を見に行きます。映画は午後五時に始まります。その前に、駅の近くで晩ご飯を食べます。,"Konshuu no doyoubi, tomodachi to eiga o mi ni ikimasu. Eiga wa gogo go-ji ni hajimarimasu. Sono mae ni, eki no chikaku de ban-gohan o tabemasu.","Sabtu minggu ini, saya pergi menonton film dengan teman. Film mulai jam lima sore. Sebelum itu, kami makan malam dekat stasiun.",53,59,3,vocab_n5_0271|vocab_n5_0470|vocab_n5_0469|vocab_n5_0088|vocab_n5_0648|vocab_n5_0049|vocab_n5_0253|vocab_n5_0528|vocab_n5_0365|vocab_n5_0621|vocab_n5_0092|vocab_n5_0403|vocab_n5_0393,今週|土曜日|友達|映画|見る|行く|午後|五時|始まる|その|前|駅|近く|晩ご飯|食べる,grm_n5_052|grm_n5_075|grm_n5_060|grm_n5_049|grm_n5_048|grm_n5_005,の|と|を|に行く|に|その前に|で,kanji_n5_027|kanji_n5_094|kanji_n5_061|kanji_n5_001|kanji_n5_076|kanji_n5_016|kanji_n5_015|kanji_n5_047|kanji_n5_019|kanji_n5_022|kanji_n5_014|kanji_n5_020|kanji_n5_083|kanji_n5_064,今週土日友見行午後五時前駅食,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0017,N5,curated_original_reading_n5,17,lost_item,忘れ物,,lost_and_found,3,notice,黒い傘を探しています。今日の午後、図書館の前に忘れました。名前はありません。見つけた人は、事務室へ持って来てください。,"Kuroi kasa o sagashite imasu. Kyou no gogo, toshokan no mae ni wasuremashita. Namae wa arimasen. Mitsuketa hito wa, jimushitsu e motte kite kudasai.","Saya mencari payung hitam. Sore ini saya lupa menaruhnya di depan perpustakaan. Tidak ada nama. Orang yang menemukannya, tolong bawa ke kantor administrasi.",59,74,3,vocab_n5_0233|vocab_n5_0160|vocab_n5_0204|vocab_n5_0253|vocab_n5_0460|vocab_n5_0621|vocab_n5_0713|vocab_n5_0490|vocab_n5_0564|vocab_n5_0661|vocab_n5_0230,黒い|傘|探す|今日|午後|図書館|前|忘れる|名前|人|事務室|持つ|来る,grm_n5_052|grm_n5_048|grm_n5_092|grm_n5_105|grm_n5_051|grm_n5_072,ています|の|に|ました|ありません|た人|へ|てください,kanji_n5_027|kanji_n5_001|kanji_n5_047|kanji_n5_019|kanji_n5_049|kanji_n5_020|kanji_n5_051|kanji_n5_016|kanji_n5_004|kanji_n5_039,今日午後書前名見人来,{},true,true,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0018,N5,curated_original_reading_n5,18,email_teacher,先生へのメール,,email,3,email,先生、おはようございます。今日は熱がありますから、学校を休みます。宿題は明日出します。よろしくお願いします。,"Sensei, ohayou gozaimasu. Kyou wa netsu ga arimasu kara, gakkou o yasumimasu. Shukudai wa ashita dashimasu. Yoroshiku onegai shimasu.","Guru, selamat pagi. Hari ini saya demam, jadi saya tidak masuk sekolah. PR akan saya kumpulkan besok. Mohon pengertiannya.",54,70,3,vocab_n5_0355|vocab_n5_0204|vocab_n5_0168|vocab_n5_0672|vocab_n5_0318|vocab_n5_0016|vocab_n5_0383,先生|おはようございます|今日|熱|学校|休む|宿題|明日|出す,grm_n5_012|grm_n5_023|grm_n5_060|grm_n5_079,があります|から|を|ます|は,kanji_n5_050|kanji_n5_021|kanji_n5_027|kanji_n5_001|kanji_n5_031|kanji_n5_059|kanji_n5_078|kanji_n5_012,先生今日学校休出,{},true,true,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0019,N5,curated_original_reading_n5,19,pet_cat,私の猫,,animals,2,description,私の猫の名前はモモです。白くて、小さい猫です。魚が好きですが、牛乳はあまり飲みません。夜は私のベッドで寝ます。,"Watashi no neko no namae wa Momo desu. Shirokute, chiisai neko desu. Sakana ga suki desu ga, gyuunyuu wa amari nomimasen. Yoru wa watashi no beddo de nemasu.","Nama kucing saya Momo. Ia kucing putih dan kecil. Ia suka ikan, tetapi tidak terlalu minum susu. Malam hari ia tidur di tempat tidur saya.",55,61,3,vocab_n5_0714|vocab_n5_0509|vocab_n5_0490|vocab_n5_0325|vocab_n5_0399|vocab_n5_0277|vocab_n5_0331|vocab_n5_0203|vocab_n5_0515|vocab_n5_0691|vocab_n5_0594|vocab_n5_0510,私|猫|名前|白い|小さい|魚|好き|牛乳|飲む|夜|ベッド|寝る,grm_n5_052|grm_n5_079|grm_n5_041|grm_n5_011|grm_n5_005,の|は|くて|が|ですが|あまり～ない|で,kanji_n5_051|kanji_n5_020|kanji_n5_070|kanji_n5_041|kanji_n5_086|kanji_n5_082,名前白小魚飲,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0020,N5,curated_original_reading_n5,20,train_notice,電車のお知らせ,,transport,3,notice,お知らせです。今日の午後、雨が強いですから、電車が少し遅れています。駅で待ってください。バスも使うことができます。,"Oshirase desu. Kyou no gogo, ame ga tsuyoi desu kara, densha ga sukoshi okurete imasu. Eki de matte kudasai. Basu mo tsukau koto ga dekimasu.","Pengumuman. Sore ini karena hujan deras, kereta agak terlambat. Mohon tunggu di stasiun. Bus juga bisa digunakan.",57,72,3,vocab_n5_0204|vocab_n5_0253|vocab_n5_0037|vocab_n5_0423|vocab_n5_0440|vocab_n5_0335|vocab_n5_0092|vocab_n5_0628|vocab_n5_0532|vocab_n5_0413|vocab_n5_0430,お知らせ|今日|午後|雨|強い|電車|少し|遅れる|駅|待つ|バス|使う|できる,grm_n5_023|grm_n5_011|grm_n5_005|grm_n5_072|grm_n5_034|grm_n5_113,から|が|ています|で|てください|も|ことができる,kanji_n5_027|kanji_n5_001|kanji_n5_047|kanji_n5_019|kanji_n5_080|kanji_n5_058|kanji_n5_065|kanji_n5_095|kanji_n5_083,今日午後雨電車少駅,{},true,true,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
