id,jlpt_level,passage_id,passage_key,display_order,question_order,question_type,skill_focus,question_jp,question_romaji,question_id,choices_json,correct_answer_json,explanation_id,difficulty_order,points,time_limit_seconds,quiz_template_key,recommended_for_mvp,source_basis,source_url,review_status,notes
read_q_n5_0011,N5,read_n5_0004,family_photo,11,2,multiple_choice_single,detail,妹は何歳ですか。,,Adik perempuannya umur berapa?,"[{""id"": ""c1"", ""text"": ""十歳"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""八歳"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""二十歳"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""六歳"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""十歳""}",Teks menyebut 妹は十歳です。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0012,N5,read_n5_0004,family_photo,12,3,true_false,verification,この家族には犬がいます。,,Keluarga ini punya/ada anjing.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""正しい"", ""is_true"": true}",Teks menyebut 犬もいます。,1,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0013,N5,read_n5_0005,room_items,13,1,multiple_choice_single,detail,本はどこにありますか。,,Buku ada di mana?,"[{""id"": ""c1"", ""text"": ""机の上"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""ベッドの下"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""窓の近く"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""かばんの中"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""机の上""}",Teks menyebut 机の上に本が三冊あります。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0014,N5,read_n5_0005,room_items,14,2,multiple_choice_single,detail,かばんはどこにありますか。,,Tas ada di mana?,"[{""id"": ""c1"", ""text"": ""ベッドの下"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""机の上"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""窓の外"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""花の近く"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""ベッドの下""}",Teks menyebut ベッドの下にかばんがあります。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0015,N5,read_n5_0005,room_items,15,3,true_false,verification,部屋は大きいです。,,Kamarnya besar.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""正しくない"", ""is_true"": false}",Teks menyebut 部屋は小さいです。,1,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0016,N5,read_n5_0006,shopping_bag,16,1,multiple_choice_single,detail,何を買いましたか。,,Apa yang dibeli?,"[{""id"": ""c1"", ""text"": ""りんごと牛乳"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""パンと卵"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""魚と肉"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""本とペン"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""りんごと牛乳""}",Teks menyebut りんごを三つと牛乳を一本買いました。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0017,N5,read_n5_0006,shopping_bag,17,2,multiple_choice_single,detail,全部でいくらでしたか。,,Totalnya berapa?,"[{""id"": ""c1"", ""text"": ""六百円"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""三百円"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""百円"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""千円"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""六百円""}",Teks menyebut 全部で六百円でした。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0018,N5,read_n5_0006,shopping_bag,18,3,true_false,verification,スーパーへ午前に行きました。,,Ia pergi ke supermarket pada pagi hari.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""正しくない"", ""is_true"": false}",Teks menyebut 午後。,1,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0019,N5,read_n5_0007,restaurant_menu,19,1,multiple_choice_single,detail,カレーはいくらですか。,,Kari harganya berapa?,"[{""id"": ""c1"", ""text"": ""七百円"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""六百円"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""三百円"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""無料"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""七百円""}",Teks menyebut カレーは七百円です。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0020,N5,read_n5_0007,restaurant_menu,20,2,multiple_choice_single,detail,無料のものは何ですか。,,Yang gratis apa?,"[{""id"": ""c1"", ""text"": ""水"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""コーヒー"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""ラーメン"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""カレー"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""水""}",Teks menyebut 水は無料です。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0021,N5,read_n5_0007,restaurant_menu,21,3,true_false,verification,ラーメンはカレーより高いです。,,Ramen lebih mahal daripada kari.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""正しくない"", ""is_true"": false}","Ramen 600 yen, kari 700 yen.",1,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0022,N5,read_n5_0008,station_meeting,22,1,multiple_choice_single,detail,どこで会いますか。,,Bertemu di mana?,"[{""id"": ""c1"", ""text"": ""駅の前"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""学校の中"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""店の右"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""公園の後ろ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""駅の前""}",Teks menyebut 駅の前で会いましょう。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0023,N5,read_n5_0008,station_meeting,23,2,multiple_choice_single,detail,時間はいつですか。,,Waktunya kapan?,"[{""id"": ""c1"", ""text"": ""九時半"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""九時"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""八時半"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""十時半"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""九時半""}",Teks menyebut 時間は九時半です。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0024,N5,read_n5_0008,station_meeting,24,3,true_false,verification,私は赤いかばんを持っています。,,Saya membawa tas merah.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""正しくない"", ""is_true"": false}",Teks menyebut 青いかばん。,1,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0025,N5,read_n5_0009,library_notice,25,1,multiple_choice_single,detail,図書館は日曜日に開いていますか。,,Apakah perpustakaan buka hari Minggu?,"[{""id"": ""c1"", ""text"": ""いいえ、休みです"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""はい、午後六時までです"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""はい、午前九時からです"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""午後三時だけです"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""いいえ、休みです""}",Teks menyebut 日曜日は休みです。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0026,N5,read_n5_0009,library_notice,26,2,multiple_choice_single,detail,土曜日は何時までですか。,,Sabtu sampai jam berapa?,"[{""id"": ""c1"", ""text"": ""午後三時"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""午後六時"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""午前九時"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""午後九時"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""午後三時""}",Teks menyebut 土曜日は午後三時までです。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0027,N5,read_n5_0009,library_notice,27,3,true_false,verification,月曜日から金曜日まで、午後六時まで開いています。,,Senin sampai Jumat buka sampai jam enam sore.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""正しい"", ""is_true"": true}",Teks menyebut 月曜日から金曜日まで...午後六時まで。,2,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0028,N5,read_n5_0010,class_schedule,28,1,multiple_choice_single,detail,一時間目は何ですか。,,Pelajaran pertama apa?,"[{""id"": ""c1"", ""text"": ""日本語"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""数学"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""英語"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""体育"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""日本語""}",Teks menyebut 一時間目は日本語です。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0029,N5,read_n5_0010,class_schedule,29,2,multiple_choice_single,detail,昼休みの後で何がありますか。,,Setelah istirahat siang ada apa?,"[{""id"": ""c1"", ""text"": ""英語"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""体育"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""日本語"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""数学"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""英語""}",Teks menyebut 昼休みの後で、英語があります。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0030,N5,read_n5_0010,class_schedule,30,3,true_false,verification,今日は体育があります。,,Hari ini ada olahraga.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""正しくない"", ""is_true"": false}",Teks menyebut 体育はありません。,2,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0031,N5,read_n5_0011,weather_plan,31,1,multiple_choice_single,detail,私はどこへ行きたかったですか。,,Saya ingin pergi ke mana?,"[{""id"": ""c1"", ""text"": ""公園"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""学校"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""図書館"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""駅"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""公園""}",Teks menyebut 公園へ行きたかった。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0032,N5,read_n5_0011,weather_plan,32,2,multiple_choice_single,detail,家で何をしましたか。,,Di rumah melakukan apa?,"[{""id"": ""c1"", ""text"": ""本を読んで、音楽を聞きました"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""テレビを見て、寝ました"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""料理をして、食べました"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""勉強だけしました"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""本を読んで、音楽を聞きました""}",Teks menyebut 家で本を読んで、音楽を聞きました。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0033,N5,read_n5_0011,weather_plan,33,3,true_false,verification,午後、雨が止みました。,,Sore/siang hujan berhenti.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""正しい"", ""is_true"": true}",Kalimat terakhir menyebut 午後、雨が止みました。,2,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0034,N5,read_n5_0012,doctor_visit,34,1,multiple_choice_single,detail,昨日、どこが痛かったですか。,,Kemarin bagian mana yang sakit?,"[{""id"": ""c1"", ""text"": ""頭"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""手"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""足"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""耳"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""頭""}",Teks menyebut 頭が痛かったです。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0035,N5,read_n5_0012,doctor_visit,35,2,multiple_choice_single,detail,医者は何と言いましたか。,,Dokter berkata apa?,"[{""id"": ""c1"", ""text"": ""薬を飲んで、早く寝てください"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""学校へ行ってください"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""水を買ってください"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""運動してください"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""薬を飲んで、早く寝てください""}",Kutipan dokter menyebut 薬を飲んで、早く寝てください。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0036,N5,read_n5_0012,doctor_visit,36,3,true_false,verification,私は学校へ行きました。,,Saya pergi ke sekolah.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""正しくない"", ""is_true"": false}",Teks menyebut 学校を休んで、病院へ行きました。,2,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0037,N5,read_n5_0013,direction_postoffice,37,1,multiple_choice_single,detail,二つ目の角で、どちらに曲がりますか。,,"Di sudut kedua, belok ke mana?","[{""id"": ""c1"", ""text"": ""右"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""左"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""前"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""後ろ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""右""}",Teks menyebut 右に曲がります。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0038,N5,read_n5_0013,direction_postoffice,38,2,multiple_choice_single,detail,郵便局はどこですか。,,Kantor pos ada di mana?,"[{""id"": ""c1"", ""text"": ""銀行の隣"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""駅の中"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""学校の前"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""公園の右"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""銀行の隣""}",Teks menyebut 郵便局は銀行の隣です。,2,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0039,N5,read_n5_0013,direction_postoffice,39,3,true_false,verification,郵便局まで電車で五分です。,,Ke kantor pos lima menit dengan kereta.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""正しくない"", ""is_true"": false}",Teks menyebut 歩いて五分ぐらいです。,2,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
