id,set_type,display_order,symbol,visible_symbol,unicode_codepoint,unicode_name,unicode_escape,utf8_hex,category,subcategory,japanese_name,romaji_name,meaning_id,usage_id,input_aliases,normalized_nfkc,suggested_normalized_to,pair_key,pair_role,is_pair,is_common,n5_relevant,recommended_for_quiz,example_jp,example_id,source_url,notes
jsp_0013,cjk_symbols_punctuation_block,13,「,「,U+300C,LEFT CORNER BRACKET,\u300C,E3 80 8C,bracket,corner_quote,鉤括弧,kagi kakko,Tanda kutip Jepang pembuka,Membuka kutipan/dialog/judul pendek.,""", quote, open quote",,,corner_quote,open,true,true,true,true,「こんにちは」と言いました。,"Dia berkata, “Halo.”",https://www.unicode.org/charts/PDF/U3000.pdf,Sangat umum di reading.
jsp_0014,cjk_symbols_punctuation_block,14,」,」,U+300D,RIGHT CORNER BRACKET,\u300D,E3 80 8D,bracket,corner_quote,鉤括弧,kagi kakko,Tanda kutip Jepang penutup,Menutup kutipan/dialog/judul pendek.,""", quote, close quote",,,corner_quote,close,true,true,true,true,「こんにちは」と言いました。,"Dia berkata, “Halo.”",https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0015,cjk_symbols_punctuation_block,15,『,『,U+300E,LEFT WHITE CORNER BRACKET,\u300E,E3 80 8E,bracket,white_corner_quote,二重鉤括弧,nijū kagi kakko,Tanda kutip Jepang ganda pembuka,Kutipan dalam kutipan atau judul buku/karya.,,,,white_corner_quote,open,true,true,true,false,『日本語』を読みます。,Saya membaca “Bahasa Jepang”.,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0016,cjk_symbols_punctuation_block,16,』,』,U+300F,RIGHT WHITE CORNER BRACKET,\u300F,E3 80 8F,bracket,white_corner_quote,二重鉤括弧,nijū kagi kakko,Tanda kutip Jepang ganda penutup,Menutup kutipan ganda/judul.,,,,white_corner_quote,close,true,true,true,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0017,cjk_symbols_punctuation_block,17,【,【,U+3010,LEFT BLACK LENTICULAR BRACKET,\u3010,E3 80 90,bracket,black_lenticular_bracket,隅付き括弧,sumitsuki kakko,Kurung lentikular hitam pembuka,"Label, heading, penekanan.",,,,black_lenticular_bracket,open,true,true,false,false,【重要】テストがあります。,[Penting] Ada ujian.,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0018,cjk_symbols_punctuation_block,18,】,】,U+3011,RIGHT BLACK LENTICULAR BRACKET,\u3011,E3 80 91,bracket,black_lenticular_bracket,隅付き括弧,sumitsuki kakko,Kurung lentikular hitam penutup,Menutup label/heading.,,,,black_lenticular_bracket,close,true,true,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0019,cjk_symbols_punctuation_block,19,〒,〒,U+3012,POSTAL MARK,\u3012,E3 80 92,symbol,postal_mark,郵便記号,yūbin kigō,Simbol pos Jepang,Menandai kode pos/alamat Jepang.,"postal, yubin",,,,none,false,true,false,false,〒100-0001,Kode pos Jepang.,https://www.unicode.org/charts/PDF/U3000.pdf,Berguna untuk reading real-life.
jsp_0020,cjk_symbols_punctuation_block,20,〓,〓,U+3013,GETA MARK,\u3013,E3 80 93,symbol,geta_mark,ゲタ記号,geta kigō,Tanda pengganti karakter hilang,Dipakai saat karakter tidak tersedia/korup.,"missing char, geta",,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0021,cjk_symbols_punctuation_block,21,〔,〔,U+3014,LEFT TORTOISE SHELL BRACKET,\u3014,E3 80 94,bracket,tortoise_shell_bracket,亀甲括弧,kikkō kakko,Kurung kura-kura pembuka,Kompatibilitas teks CJK.,,,,tortoise_shell_bracket,open,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0022,cjk_symbols_punctuation_block,22,〕,〕,U+3015,RIGHT TORTOISE SHELL BRACKET,\u3015,E3 80 95,bracket,tortoise_shell_bracket,亀甲括弧,kikkō kakko,Kurung kura-kura penutup,Kompatibilitas teks CJK.,,,,tortoise_shell_bracket,close,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0023,cjk_symbols_punctuation_block,23,〖,〖,U+3016,LEFT WHITE LENTICULAR BRACKET,\u3016,E3 80 96,bracket,white_lenticular_bracket,白抜き隅付き括弧,shironuki sumitsuki kakko,Kurung lentikular putih pembuka,Kompatibilitas teks CJK.,,,,white_lenticular_bracket,open,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0024,cjk_symbols_punctuation_block,24,〗,〗,U+3017,RIGHT WHITE LENTICULAR BRACKET,\u3017,E3 80 97,bracket,white_lenticular_bracket,白抜き隅付き括弧,shironuki sumitsuki kakko,Kurung lentikular putih penutup,Kompatibilitas teks CJK.,,,,white_lenticular_bracket,close,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0025,cjk_symbols_punctuation_block,25,〘,〘,U+3018,LEFT WHITE TORTOISE SHELL BRACKET,\u3018,E3 80 98,bracket,white_tortoise_shell_bracket,白抜き亀甲括弧,shironuki kikkō kakko,Kurung kura-kura putih pembuka,Kompatibilitas teks CJK.,,,,white_tortoise_shell_bracket,open,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0026,cjk_symbols_punctuation_block,26,〙,〙,U+3019,RIGHT WHITE TORTOISE SHELL BRACKET,\u3019,E3 80 99,bracket,white_tortoise_shell_bracket,白抜き亀甲括弧,shironuki kikkō kakko,Kurung kura-kura putih penutup,Kompatibilitas teks CJK.,,,,white_tortoise_shell_bracket,close,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0027,cjk_symbols_punctuation_block,27,〚,〚,U+301A,LEFT WHITE SQUARE BRACKET,\u301A,E3 80 9A,bracket,white_square_bracket,白角括弧,shiro kaku kakko,Kurung siku putih pembuka,Kompatibilitas teks CJK.,,,,white_square_bracket,open,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0028,cjk_symbols_punctuation_block,28,〛,〛,U+301B,RIGHT WHITE SQUARE BRACKET,\u301B,E3 80 9B,bracket,white_square_bracket,白角括弧,shiro kaku kakko,Kurung siku putih penutup,Kompatibilitas teks CJK.,,,,white_square_bracket,close,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0029,cjk_symbols_punctuation_block,29,〜,〜,U+301C,WAVE DASH,\u301C,E3 80 9C,punctuation,wave_dash,波ダッシュ,nami dasshu,Tanda rentang/gelombang,Dipakai untuk rentang atau nuansa informal seperti 1〜3時.,"~, kara, range",,〜,,none,false,true,true,false,1時〜3時,Jam 1 sampai jam 3.,https://www.unicode.org/charts/PDF/U3000.pdf,Sering tertukar dengan fullwidth tilde ～.
jsp_0030,cjk_symbols_punctuation_block,30,〝,〝,U+301D,REVERSED DOUBLE PRIME QUOTATION MARK,\u301D,E3 80 9D,quotation,double_prime_quote,引用符,inyōfu,Tanda kutip gaya Jepang pembuka/vertikal,Kompatibilitas teks CJK.,,,,double_prime_quote,open,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0031,cjk_symbols_punctuation_block,31,〞,〞,U+301E,DOUBLE PRIME QUOTATION MARK,\u301E,E3 80 9E,quotation,double_prime_quote,引用符,inyōfu,Tanda kutip gaya Jepang penutup,Kompatibilitas teks CJK.,,,,double_prime_quote,close,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0032,cjk_symbols_punctuation_block,32,〟,〟,U+301F,LOW DOUBLE PRIME QUOTATION MARK,\u301F,E3 80 9F,quotation,double_prime_quote,引用符,inyōfu,Tanda kutip rendah gaya Jepang,Kompatibilitas teks CJK.,,,,double_prime_quote,close,true,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0033,cjk_symbols_punctuation_block,33,〠,〠,U+3020,POSTAL MARK FACE,\u3020,E3 80 A0,symbol,postal_mark_face,郵便顔記号,yūbin kao kigō,Simbol wajah pos,Simbol pos dekoratif.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0034,cjk_symbols_punctuation_block,34,〡,〡,U+3021,HANGZHOU NUMERAL ONE,\u3021,E3 80 A1,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0035,cjk_symbols_punctuation_block,35,〢,〢,U+3022,HANGZHOU NUMERAL TWO,\u3022,E3 80 A2,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0036,cjk_symbols_punctuation_block,36,〣,〣,U+3023,HANGZHOU NUMERAL THREE,\u3023,E3 80 A3,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0037,cjk_symbols_punctuation_block,37,〤,〤,U+3024,HANGZHOU NUMERAL FOUR,\u3024,E3 80 A4,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0038,cjk_symbols_punctuation_block,38,〥,〥,U+3025,HANGZHOU NUMERAL FIVE,\u3025,E3 80 A5,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0039,cjk_symbols_punctuation_block,39,〦,〦,U+3026,HANGZHOU NUMERAL SIX,\u3026,E3 80 A6,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0040,cjk_symbols_punctuation_block,40,〧,〧,U+3027,HANGZHOU NUMERAL SEVEN,\u3027,E3 80 A7,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0041,cjk_symbols_punctuation_block,41,〨,〨,U+3028,HANGZHOU NUMERAL EIGHT,\u3028,E3 80 A8,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0042,cjk_symbols_punctuation_block,42,〩,〩,U+3029,HANGZHOU NUMERAL NINE,\u3029,E3 80 A9,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0043,cjk_symbols_punctuation_block,43,〪,◌〪,U+302A,IDEOGRAPHIC LEVEL TONE MARK,\u302A,E3 80 AA,mark,tone_mark,声調記号,seichō kigō,Tanda nada CJK/Hangul; bukan materi Jepang N5.,Kompatibilitas Unicode.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,Bukan punctuation Jepang modern untuk pemula.
jsp_0044,cjk_symbols_punctuation_block,44,〫,◌〫,U+302B,IDEOGRAPHIC RISING TONE MARK,\u302B,E3 80 AB,mark,tone_mark,声調記号,seichō kigō,Tanda nada CJK/Hangul; bukan materi Jepang N5.,Kompatibilitas Unicode.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,Bukan punctuation Jepang modern untuk pemula.
jsp_0045,cjk_symbols_punctuation_block,45,〬,◌〬,U+302C,IDEOGRAPHIC DEPARTING TONE MARK,\u302C,E3 80 AC,mark,tone_mark,声調記号,seichō kigō,Tanda nada CJK/Hangul; bukan materi Jepang N5.,Kompatibilitas Unicode.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,Bukan punctuation Jepang modern untuk pemula.
jsp_0046,cjk_symbols_punctuation_block,46,〭,◌〭,U+302D,IDEOGRAPHIC ENTERING TONE MARK,\u302D,E3 80 AD,mark,tone_mark,声調記号,seichō kigō,Tanda nada CJK/Hangul; bukan materi Jepang N5.,Kompatibilitas Unicode.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,Bukan punctuation Jepang modern untuk pemula.
jsp_0047,cjk_symbols_punctuation_block,47,〮,◌〮,U+302E,HANGUL SINGLE DOT TONE MARK,\u302E,E3 80 AE,mark,tone_mark,声調記号,seichō kigō,Tanda nada CJK/Hangul; bukan materi Jepang N5.,Kompatibilitas Unicode.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,Bukan punctuation Jepang modern untuk pemula.
jsp_0048,cjk_symbols_punctuation_block,48,〯,◌〯,U+302F,HANGUL DOUBLE DOT TONE MARK,\u302F,E3 80 AF,mark,tone_mark,声調記号,seichō kigō,Tanda nada CJK/Hangul; bukan materi Jepang N5.,Kompatibilitas Unicode.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,Bukan punctuation Jepang modern untuk pemula.
jsp_0049,cjk_symbols_punctuation_block,49,〰,〰,U+3030,WAVY DASH,\u3030,E3 80 B0,punctuation,wavy_dash,波線,hasen,Garis gelombang,Penekanan/dekorasi; bukan wave dash standar untuk rentang.,wavy dash,,,,none,false,true,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0050,cjk_symbols_punctuation_block,50,〱,〱,U+3031,VERTICAL KANA REPEAT MARK,\u3031,E3 80 B1,mark,vertical_kana_repeat,くの字点,kuno-jiten,Tanda pengulangan kana vertikal,Arkais/vertikal.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0051,cjk_symbols_punctuation_block,51,〲,〲,U+3032,VERTICAL KANA REPEAT WITH VOICED SOUND MARK,\u3032,E3 80 B2,mark,vertical_kana_repeat_voiced,くの字点濁点付き,kuno-jiten dakuten tsuki,Tanda pengulangan kana vertikal bersuara,Arkais/vertikal.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0052,cjk_symbols_punctuation_block,52,〳,〳,U+3033,VERTICAL KANA REPEAT MARK UPPER HALF,\u3033,E3 80 B3,mark,vertical_kana_repeat_upper,くの字点上,kuno-jiten ue,Bagian atas tanda pengulangan kana vertikal,Arkais/vertikal.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0053,cjk_symbols_punctuation_block,53,〴,〴,U+3034,VERTICAL KANA REPEAT WITH VOICED SOUND MARK UPPER HALF,\u3034,E3 80 B4,mark,vertical_kana_repeat_upper_voiced,くの字点濁点付き上,kuno-jiten dakuten tsuki ue,Bagian atas tanda pengulangan kana vertikal bersuara,Arkais/vertikal.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0054,cjk_symbols_punctuation_block,54,〵,〵,U+3035,VERTICAL KANA REPEAT MARK LOWER HALF,\u3035,E3 80 B5,mark,vertical_kana_repeat_lower,くの字点下,kuno-jiten shita,Bagian bawah tanda pengulangan kana vertikal,Arkais/vertikal.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0055,cjk_symbols_punctuation_block,55,〶,〶,U+3036,CIRCLED POSTAL MARK,\u3036,E3 80 B6,symbol,circled_postal_mark,丸付き郵便記号,marutsuki yūbin kigō,Simbol pos dalam lingkaran,Kompatibilitas teks CJK.,,〒,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0056,cjk_symbols_punctuation_block,56,〷,〷,U+3037,IDEOGRAPHIC TELEGRAPH LINE FEED SEPARATOR SYMBOL,\u3037,E3 80 B7,symbol,telegraph_separator,電信改行記号,denshin kaigyō kigō,Simbol pemisah line feed telegraf,Kompatibilitas teks CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0057,cjk_symbols_punctuation_block,57,〸,〸,U+3038,HANGZHOU NUMERAL TEN,\u3038,E3 80 B8,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,十,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0058,cjk_symbols_punctuation_block,58,〹,〹,U+3039,HANGZHOU NUMERAL TWENTY,\u3039,E3 80 B9,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,卄,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0059,cjk_symbols_punctuation_block,59,〺,〺,U+303A,HANGZHOU NUMERAL THIRTY,\u303A,E3 80 BA,number_symbol,hangzhou_suzhou_numeral,蘇州号碼,soshū gōma,Angka Hangzhou/Suzhou; bukan materi Jepang modern awal.,Simbol angka historis/regional CJK.,,卅,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,"Simpan untuk kompatibilitas Unicode, jangan tampilkan di materi N5 utama."
jsp_0060,cjk_symbols_punctuation_block,60,〻,〻,U+303B,VERTICAL IDEOGRAPHIC ITERATION MARK,\u303B,E3 80 BB,mark,vertical_ideographic_iteration,縦書き踊り字,tategaki odoriji,Tanda pengulangan kanji vertikal,Varian vertikal dari 々.,,,々,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0061,cjk_symbols_punctuation_block,61,〼,〼,U+303C,MASU MARK,\u303C,E3 80 BC,symbol,masu_mark,ます記号,masu kigō,Simbol masu,Simbol lama untuk ます.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0062,cjk_symbols_punctuation_block,62,〽,〽,U+303D,PART ALTERNATION MARK,\u303D,E3 80 BD,symbol,part_alternation_mark,庵点,iori ten,Tanda pergantian bagian/lagu,Dipakai di teks tradisional/lagu.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0063,cjk_symbols_punctuation_block,63,〾,〾,U+303E,IDEOGRAPHIC VARIATION INDICATOR,\u303E,E3 80 BE,symbol,ideographic_variation_indicator,異体字記号,itaiji kigō,Indikator variasi ideografik,Kompatibilitas teks CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0064,cjk_symbols_punctuation_block,64,〿,〿,U+303F,IDEOGRAPHIC HALF FILL SPACE,\u303F,E3 80 BF,space,ideographic_half_fill_space,半角埋め空白,hankaku ume kūhaku,Spasi isi setengah ideografik,Kompatibilitas teks CJK.,,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0065,core_japanese_punctuation,65,・,・,U+30FB,KATAKANA MIDDLE DOT,\u30FB,E3 83 BB,punctuation,katakana_middle_dot,中点 / 中黒,nakaten / nakaguro,Titik tengah Jepang,"Memisahkan kata asing/nama, daftar, atau pembacaan seperti カタカナ・ひらがな.","middle dot, nakaguro, ・, /",,・,,none,false,true,true,true,カタカナ・ひらがな,Katakana dan hiragana.,https://www.w3.org/TR/jlreq/?lang=en,
jsp_0066,core_japanese_punctuation,66,ー,ー,U+30FC,KATAKANA-HIRAGANA PROLONGED SOUND MARK,\u30FC,E3 83 BC,mark,prolonged_sound_mark,長音符,chōonpu,Tanda vokal panjang,"Memanjangkan bunyi vokal, terutama di katakana.","-, dash, long vowel",,ー,,none,false,true,true,true,コーヒー,Kopi.,https://www.unicode.org/charts/PDF/U30A0.pdf,
jsp_0067,input_normalization,67,゛,゛,U+309B,KATAKANA-HIRAGANA VOICED SOUND MARK,\u309B,E3 82 9B,mark,spacing_dakuten,濁点,dakuten,Tanda bunyi bersuara versi spacing,Normalisasi input kana.,"dakuten, ten-ten", ゙,゙,,none,false,true,true,false,か゛ → が,ka + dakuten menjadi ga.,https://www.unicode.org/charts/PDF/U3040.pdf,
jsp_0068,input_normalization,68,゜,゜,U+309C,KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK,\u309C,E3 82 9C,mark,spacing_handakuten,半濁点,handakuten,Tanda semi-bersuara versi spacing,Normalisasi input kana.,"handakuten, maru", ゚,゚,,none,false,true,true,false,は゜ → ぱ,ha + handakuten menjadi pa.,https://www.unicode.org/charts/PDF/U3040.pdf,
jsp_0069,input_normalization,69,゙,◌゙,U+3099,COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK,\u3099,E3 82 99,mark,combining_dakuten,結合濁点,ketsugō dakuten,Tanda dakuten combining,Normalisasi Unicode untuk kana gabungan.,combining dakuten,,,,none,false,true,true,false,,,https://www.unicode.org/charts/PDF/U3040.pdf,
